Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Larry Fitzgerald,33,ARI,WR,16,16,150,107,1023,9.6,6,60,58.0,33,6.7,63.9,71.3,6.8,2,PB,FitzLa00
2,Antonio Brown,28,PIT,WR,15,15,154,106,1284,12.1,12,64,51.3,51,7.1,85.6,68.8,8.3,0,PBAP-1,BrowAn04
3,Odell Beckham Jr.,24,NYG,WR,16,16,169,101,1367,13.5,10,66,49.7,75,6.3,85.4,59.8,8.1,3,PBAP-2,BeckOd00
4,Julian Edelman,30,NWE,WR,16,13,159,98,1106,11.3,3,56,52.2,77,6.1,69.1,61.6,7.0,3,,EdelJu00
5,Jordy Nelson,31,GNB,WR,16,16,152,97,1257,13.0,14,62,59.2,60,6.1,78.6,63.8,8.3,1,AP CPoY-1,NelsJo00
6,Mike Evans,23,TAM,WR,16,16,173,96,1321,13.8,12,82,53.2,45,6.0,82.6,55.5,7.6,0,PBAP-2,EvanMi00
7,Doug Baldwin,28,SEA,WR,16,15,125,94,1128,12.0,7,51,58.4,59,5.9,70.5,75.2,9.0,1,PB,BaldDo00
8,Jarvis Landry,24,MIA,WR,16,16,131,94,1136,12.1,4,53,53.4,71,5.9,71.0,71.8,8.7,2,PB,LandJa00
9,Michael Thomas,23,NOR,WR,15,12,121,92,1137,12.4,9,62,67.8,46,6.1,75.8,76.0,9.4,2,,ThomMi05
10,T.Y. Hilton,27,IND,WR,16,16,155,91,1448,15.9,6,66,54.2,63,5.7,90.5,58.7,9.3,0,PB,HiltT.00
11,Golden Tate,28,DET,WR,16,16,135,91,1077,11.8,4,47,49.6,67,5.7,67.3,67.4,8.0,2,,TateGo00
12,Demaryius Thomas,29,DEN,WR,16,16,144,90,1083,12.0,5,50,52.8,55,5.6,67.7,62.5,7.5,2,PB,ThomDe03
13,Michael Crabtree,29,OAK,WR,16,16,145,89,1003,11.3,8,56,52.4,56,5.6,62.7,61.4,6.9,2,,CrabMi00
14,Dennis Pitta,31,BAL,TE,16,12,121,86,729,8.5,2,37,47.9,30,5.4,45.6,71.1,6.0,1,AP CPoY-3,PittDe00
15,Travis Kelce,27,KAN,TE,16,15,117,85,1125,13.2,4,55,63.2,80,5.3,70.3,72.6,9.6,0,PBAP-1,KelcTr00
16,Stefon Diggs,23,MIN,WR,13,11,112,84,903,10.8,3,48,63.4,46,6.5,69.5,75.0,8.1,0,,DiggSt00
