Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Rod Smith,31,DEN,WR,15,14,172,113,1343,11.9,11,75,57.6,65,7.5,89.5,65.7,7.8,1,PBAP-2,SmitRo01
2,Jimmy Smith,32,JAX,WR,16,16,176,112,1373,12.3,8,69,53.4,35,7.0,85.8,63.6,7.8,1,PBAP CPoY-2,SmitJi00
3,Marvin Harrison,29,IND,WR,16,16,164,109,1524,14.0,15,74,60.4,68,6.8,95.3,66.5,9.3,0,PBAP-2,HarrMa00
4,Keyshawn Johnson,29,TAM,WR,15,15,180,106,1266,11.9,1,67,48.3,47,7.1,84.4,58.9,7.0,2,PB,JohnKe00
5,Troy Brown,30,NWE,WR,16,13,142,101,1199,11.9,5,60,61.3,60,6.3,74.9,71.1,8.4,2,PB,BrowTr00
6,Marty Booker,25,CHI,WR,16,16,157,100,1071,10.7,8,58,50.3,66,6.3,66.9,63.7,6.8,2,,BookMa00
7,David Boston,23,ARI,WR,16,15,175,98,1598,16.3,8,72,46.9,61,6.1,99.9,56.0,9.1,1,PBAP-1,BostDa00
8,Hines Ward,25,PIT,WR,16,16,145,94,1003,10.7,4,52,53.8,34,5.9,62.7,64.8,6.9,1,PB,WardHi00
9,Keenan McCardell,31,JAX,WR,16,16,145,93,1110,11.9,6,58,55.9,45,5.8,69.4,64.1,7.7,1,,McCaKe00
10,Terrell Owens,28,SFO,WR,16,16,155,93,1412,15.2,16,71,53.5,60,5.8,88.3,60.0,9.1,0,PBAP-1,OwenTe00
11,Tim Brown,35,OAK,WR,16,16,140,91,1165,12.8,9,61,58.6,46,5.7,72.8,65.0,8.3,1,PB,BrowTi00
12,Kevin Johnson,25,CLE,WR,16,16,129,84,1097,13.1,9,54,55.0,55,5.3,68.6,65.1,8.5,2,,JohnKe01
13,Marshall Faulk,28,STL,RB,14,14,104,83,765,9.2,9,40,62.5,65,5.9,54.6,79.8,7.4,3,PBAP-1AP MVP-2AP OPoY-1,FaulMa00
14,Joe Horn,29,NOR,WR,16,16,156,83,1265,15.2,9,58,44.2,56,5.2,79.1,53.2,8.1,1,PB,HornJo00
15,Jerry Rice,39,OAK,WR,16,15,125,83,1139,13.7,9,62,64.0,40,5.2,71.2,66.4,9.1,1,,RiceJe00
16,Randy Moss,24,MIN,WR,16,16,154,82,1233,15.0,10,59,46.8,73,5.1,77.1,53.2,8.0,0,,MossRa00
17,Torry Holt,25,STL,WR,16,14,133,81,1363,16.8,7,58,54.9,51,5.1,85.2,60.9,10.2,2,PB,HoltTo00
18,Willie Jackson,30,NOR,WR,16,16,135,81,1046,12.9,5,54,50.4,63,5.1,65.4,60.0,7.7,0,,JackWi00
19,Larry Centers,33,BUF,FB,16,13,105,80,620,7.8,2,34,48.6,26,5.0,38.8,76.2,5.9,2,PB,CentLa00
20,Johnnie Morton,30,DET,WR,16,16,144,77,1154,15.0,4,58,48.6,76,4.8,72.1,53.5,8.0,1,,MortJo00
21,Qadry Ismail,31,BAL,WR,16,15,134,74,1059,14.3,7,50,48.5,77,4.6,66.2,55.2,7.9,1,,IsmaQa00
22,Cris Carter,36,MIN,WR,16,16,130,73,871,11.9,6,45,46.9,52,4.6,54.4,56.2,6.7,2,,CartCr00
23,Tony Gonzalez,25,KAN,TE,16,16,118,73,917,12.6,6,49,55.1,36,4.6,57.3,61.9,7.8,0,PBAP-1,GonzTo00
24,Derrick Mason,27,TEN,WR,15,15,113,73,1128,15.5,9,50,57.5,71,4.9,75.2,64.6,10.0,2,,MasoDe00
25,Shannon Sharpe,33,BAL,TE,16,15,114,73,811,11.1,2,43,56.1,37,4.6,50.7,64.0,7.1,1,PB,SharSh00
26,Tiki Barber,26,NYG,RB,14,9,98,72,577,8.0,0,30,50.0,44,5.1,41.2,73.5,5.9,8,,BarbTi00
27,Charlie Garner,29,OAK,RB,16,16,91,72,578,8.0,2,29,54.9,27,4.5,36.1,79.1,6.4,2,,GarnCh00
28,Amani Toomer,27,NYG,WR,16,14,141,72,1054,14.6,5,55,47.5,60,4.5,65.9,51.1,7.5,2,,ToomAm00
29,Curtis Conway,30,SDG,WR,16,16,126,71,1125,15.8,6,52,52.4,72,4.4,70.3,56.3,8.9,1,,ConwCu00
30,Darrell Jackson,23,SEA,WR,16,16,132,70,1081,15.4,8,44,43.2,64,4.4,67.6,53.0,8.2,0,,JackDa00
31,Peter Warrick,24,CIN,WR,16,14,137,70,667,9.5,1,34,39.4,33,4.4,41.7,51.1,4.9,3,,WarrPe00
32,Warrick Dunn,26,TAM,RB,13,12,97,68,557,8.2,3,31,39.2,31,5.2,42.8,70.1,5.7,2,,DunnWa00
33,Eric Moulds,28,BUF,WR,16,16,135,67,904,13.5,5,42,42.2,80,4.2,56.5,49.6,6.7,1,,MoulEr00
34,Plaxico Burress,24,PIT,WR,16,16,120,66,1008,15.3,6,48,50.8,43,4.1,63.0,55.0,8.4,1,,BurrPl00
35,Isaac Bruce,29,STL,WR,16,16,103,64,1106,17.3,6,50,57.3,51,4.0,69.1,62.1,10.7,4,PB,BrucIs00
36,Duce Staley,26,PHI,RB,13,10,91,63,626,9.9,2,19,44.0,46,4.8,48.2,69.2,6.9,3,,StalDu00
37,James Thrash,26,PHI,WR,15,15,108,63,833,13.2,8,35,45.4,64,4.2,55.5,58.3,7.7,1,,ThraJa00
38,Ahman Green,24,GNB,RB,16,16,82,62,594,9.6,2,24,52.4,42,3.9,37.1,75.6,7.2,5,PBAP-2,GreeAh00
39,Priest Holmes,28,KAN,RB,16,16,75,62,614,9.9,2,21,49.3,67,3.9,38.4,82.7,8.2,4,PBAP-1AP OPoY-4,HolmPr00
40,Cory Schlesinger,29,DET,FB,16,13,85,60,466,7.8,0,14,45.9,38,3.8,29.1,70.6,5.5,1,,SchlCo00
41,Ricky Williams,24,NOR,RB,16,16,88,60,511,8.5,1,19,40.9,42,3.8,31.9,68.2,5.8,8,,WillRi00
42,Frank Wycheck,30,TEN,TE,16,16,84,60,672,11.2,4,36,56.0,30,3.8,42.0,71.4,8.0,0,,WychFr00
43,Laveranues Coles,24,NYJ,WR,16,16,102,59,868,14.7,7,43,51.0,40,3.7,54.3,57.8,8.5,1,,ColeLa00
44,LaDainian Tomlinson,22,SDG,RB,16,16,74,59,367,6.2,0,12,47.3,27,3.7,22.9,79.7,5.0,8,AP ORoY-2,TomlLa00
45,Byron Chamberlain,30,MIN,TE,16,15,81,57,666,11.7,3,29,58.0,47,3.6,41.6,70.4,8.2,1,PB,ChamBy00
46,Darnay Scott,29,CIN,WR,16,15,103,57,819,14.4,2,39,50.5,49,3.6,51.2,55.3,8.0,0,,ScotDa00
47,Michael Westbrook,29,WAS,WR,16,16,91,57,664,11.6,4,32,49.5,76,3.6,41.5,62.6,7.3,0,,WestMi00
48,Wayne Chrebet,28,NYJ,WR,15,15,92,56,750,13.4,1,44,55.4,36,3.7,50.0,60.9,8.2,0,,ChreWa00
49,Oronde Gadsden,30,MIA,WR,14,14,93,55,674,12.3,3,34,52.7,61,3.9,48.1,59.1,7.2,1,,GadsOr00
50,James McKnight,29,MIA,WR,16,15,90,55,684,12.4,3,31,48.9,40,3.4,42.8,61.1,7.6,3,,McKnJa00
51,Peerless Price,25,BUF,WR,16,16,111,55,895,16.3,7,37,42.3,70,3.4,55.9,49.5,8.1,2,,PricPe00
52,Kevin Dyson,26,TEN,WR,16,16,112,54,825,15.3,7,37,42.0,68,3.4,51.6,48.2,7.4,0,AP CPoY-2,DysoKe00
53,J.J. Stokes,29,SFO,WR,16,16,90,54,585,10.8,7,33,48.9,47,3.4,36.6,60.0,6.5,0,,StokJ.00
