Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Andre Johnson,25,HOU,WR,16,16,163,103,1147,11.1,5,56,50.3,53,6.4,71.7,63.2,7.0,1,PBAP-2,JohnAn02
2,Mike Furrey,29,DET,WR,16,14,146,98,1086,11.1,6,55,56.2,31,6.1,67.9,67.1,7.4,1,,FurrMi00
3,Marvin Harrison,34,IND,WR,16,16,148,95,1366,14.4,12,78,60.1,68,5.9,85.4,64.2,9.2,1,PBAP-1,HarrMa00
4,Torry Holt,30,STL,WR,16,16,179,93,1188,12.8,10,66,47.5,67,5.8,74.3,52.0,6.6,2,PBAP-2,HoltTo00
5,Donald Driver,31,GNB,WR,16,16,173,92,1295,14.1,8,54,48.0,82,5.8,80.9,53.2,7.5,1,PB,DrivDo00
6,Laveranues Coles,29,NYJ,WR,16,16,152,91,1098,12.1,6,53,49.3,58,5.7,68.6,59.9,7.2,1,,ColeLa00
7,T.J. Houshmandzadeh,29,CIN,WR,14,13,132,90,1081,12.0,9,58,56.1,40,6.4,77.2,68.2,8.2,0,,HousTJ00
8,Steven Jackson,23,STL,RB,16,16,110,90,806,9.0,3,32,51.8,64,5.6,50.4,81.8,7.3,4,PBAP-2AP OPoY-4,JackSt00
9,Kellen Winslow,23,CLE,TE,16,16,120,89,875,9.8,3,41,53.3,40,5.6,54.7,74.2,7.3,1,AP CPoY-4,WinsKe01
10,Reggie Bush,21,NOR,RB,16,8,121,88,742,8.4,2,34,43.8,74,5.5,46.4,72.7,6.1,2,AP ORoY-5,BushRe00
11,Chad Johnson,28,CIN,WR,16,16,152,87,1369,15.7,7,67,55.3,74,5.4,85.6,57.2,9.0,1,PBAP-1,JohnCh01
12,Reggie Wayne,28,IND,WR,16,16,137,86,1310,15.2,9,72,60.6,51,5.4,81.9,62.8,9.6,1,PB,WaynRe00
13,Terrell Owens,33,DAL,WR,16,15,150,85,1180,13.9,13,63,50.7,56,5.3,73.8,56.7,7.9,0,,OwenTe00
14,Anquan Boldin,26,ARI,WR,16,16,152,83,1203,14.5,4,55,46.7,64,5.2,75.2,54.6,7.9,1,PB,BoldAn00
15,Steve Smith Sr.,27,CAR,WR,14,14,139,83,1166,14.0,8,52,51.1,72,5.9,83.3,59.7,8.4,2,PB,SmitSt01
16,Jerricho Cotchery,24,NYJ,WR,16,16,125,82,961,11.7,6,53,57.6,71,5.1,60.1,65.6,7.7,0,,CotcJe00
17,Lee Evans,25,BUF,WR,16,15,137,82,1292,15.8,8,54,55.5,83,5.1,80.8,59.9,9.4,1,,EvanLe00
18,Roy Williams,25,DET,WR,16,16,151,82,1310,16.0,7,66,51.7,60,5.1,81.9,54.3,8.7,2,PB,WillRo04
19,Brian Westbrook,27,PHI,RB,15,14,105,77,699,9.1,4,30,53.3,52,5.1,46.6,73.3,6.7,2,,WestBr00
20,Isaac Bruce,34,STL,WR,16,13,126,74,1098,14.8,3,54,54.0,45,4.6,68.6,58.7,8.7,0,,BrucIs00
21,Hines Ward,30,PIT,WR,14,14,126,74,975,13.2,6,51,52.4,70,5.3,69.6,58.7,7.7,2,,WardHi00
22,Tony Gonzalez,30,KAN,TE,15,15,104,73,900,12.3,5,53,58.7,57,4.9,60.0,70.2,8.7,1,PBAP-2,GonzTo00
