Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Larry Fitzgerald,22,ARI,WR,16,16,165,103,1409,13.7,10,68,52.1,47,6.4,88.1,62.4,8.5,0,PB,FitzLa00
2,Steve Smith Sr.,26,CAR,WR,16,16,150,103,1563,15.2,12,72,58.0,80,6.4,97.7,68.7,10.4,2,PBAP-1AP CPoY-1,SmitSt01
3,Anquan Boldin,25,ARI,WR,14,14,171,102,1402,13.7,7,69,52.6,54,7.3,100.1,59.6,8.2,2,,BoldAn00
4,Torry Holt,29,STL,WR,14,14,163,102,1331,13.0,9,63,52.1,44,7.3,95.1,62.6,8.2,2,PB,HoltTo00
5,Chad Johnson,27,CIN,WR,16,16,155,97,1432,14.8,9,74,60.0,70,6.1,89.5,62.6,9.2,1,PBAP-1,JohnCh01
6,Antonio Gates,25,SDG,TE,15,15,140,89,1101,12.4,10,62,53.6,38,5.9,73.4,63.6,7.9,0,PBAP-1,GateAn00
7,Donald Driver,30,GNB,WR,16,16,146,86,1221,14.2,5,63,53.4,59,5.4,76.3,58.9,8.4,0,,DrivDo00
8,Derrick Mason,31,BAL,WR,16,16,137,86,1073,12.5,3,53,47.4,39,5.4,67.1,62.8,7.8,1,,MasoDe00
9,Rod Smith,35,DEN,WR,16,16,126,85,1105,13.0,6,55,60.3,72,5.3,69.1,67.5,8.8,2,PB,SmitRo01
10,Santana Moss,26,WAS,WR,16,16,134,84,1483,17.7,9,61,51.5,78,5.3,92.7,62.7,11.1,3,PBAP-2,MossSa00
11,Joey Galloway,34,TAM,WR,16,16,152,83,1287,15.5,10,56,47.4,80,5.2,80.4,54.6,8.5,0,AP CPoY-5,GallJo00
12,Reggie Wayne,27,IND,WR,16,16,122,83,1055,12.7,5,55,61.5,66,5.2,65.9,68.0,8.6,1,,WaynRe00
13,Chris Chambers,27,MIA,WR,16,16,166,82,1118,13.6,11,59,45.2,77,5.1,69.9,49.4,6.7,5,PB,ChamCh00
14,Marvin Harrison,33,IND,WR,15,15,134,82,1146,14.0,12,58,56.0,80,5.5,76.4,61.2,8.6,0,PBAP-2,HarrMa00
15,Eric Moulds,32,BUF,WR,15,15,129,81,816,10.1,4,39,49.6,55,5.4,54.4,62.8,6.3,0,,MoulEr00
16,Deion Branch,26,NWE,WR,16,15,125,78,998,12.8,5,53,56.0,51,4.9,62.4,62.4,8.0,0,,BranDe00
17,Tony Gonzalez,29,KAN,TE,16,16,116,78,905,11.6,2,45,51.7,39,4.9,56.6,67.2,7.8,0,PB,GonzTo00
18,T.J. Houshmandzadeh,28,CIN,WR,14,12,115,78,956,12.3,7,52,60.0,43,5.6,68.3,67.8,8.3,1,,HousTJ00
19,Plaxico Burress,28,NYG,WR,16,15,166,76,1214,16.0,7,48,41.6,78,4.8,75.9,45.8,7.3,1,,BurrPl00
20,Jerry Porter,27,OAK,WR,16,14,142,76,942,12.4,5,44,47.2,49,4.8,58.9,53.5,6.6,1,,PortJe00
21,Todd Heap,25,BAL,TE,16,16,114,75,855,11.4,7,45,49.1,48,4.7,53.4,65.8,7.5,2,,HeapTo00
