Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,T.J. Houshmandzadeh,30,CIN,WR,16,15,169,112,1143,10.2,12,69,56.8,42,7.0,71.4,66.3,6.8,2,PB,HousTJ00
2,Wes Welker,26,NWE,WR,16,13,145,112,1175,10.5,8,65,66.2,42,7.0,73.4,77.2,8.1,3,AP-2AP OPoY-3,WelkWe00
3,Reggie Wayne,29,IND,WR,16,16,156,104,1510,14.5,10,72,61.5,64,6.5,94.4,66.7,9.7,3,PBAP-2,WaynRe00
4,Derrick Mason,33,BAL,WR,16,16,164,103,1087,10.6,5,58,50.0,79,6.4,67.9,62.8,6.6,1,,MasoDe00
5,Brandon Marshall,23,DEN,WR,16,16,170,102,1325,13.0,7,71,52.4,68,6.4,82.8,60.0,7.8,3,,MarsBr00
6,Larry Fitzgerald,24,ARI,WR,15,15,167,100,1409,14.1,10,70,55.1,48,6.7,93.9,59.9,8.4,3,PB,FitzLa00
7,Tony Gonzalez,31,KAN,TE,16,16,153,99,1172,11.8,5,59,52.3,31,6.2,73.3,64.7,7.7,0,PBAP-2,GonzTo00
8,Marques Colston,24,NOR,WR,16,14,143,98,1202,12.3,11,64,61.5,45,6.1,75.1,68.5,8.4,1,,ColsMa00
9,Randy Moss,30,NWE,WR,16,16,160,98,1493,15.2,23,74,58.8,65,6.1,93.3,61.3,9.3,0,PBAP-1AP OPoY-2AP CPoY-2,MossRa00
10,Jason Witten,25,DAL,TE,16,16,141,96,1145,11.9,7,56,58.2,53,6.0,71.6,68.1,8.1,1,PBAP-1,WittJa00
11,Bobby Engram,34,SEA,WR,16,13,134,94,1147,12.2,6,62,62.7,49,5.9,71.7,70.1,8.6,1,AP CPoY-6,EngrBo00
12,Torry Holt,31,STL,WR,16,16,149,93,1189,12.8,7,62,56.4,40,5.8,74.3,62.4,8.0,2,PB,HoltTo00
13,Chad Johnson,29,CIN,WR,16,16,161,93,1440,15.5,8,74,55.3,70,5.8,90.0,57.8,8.9,2,PB,JohnCh01
