,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Michael Thomas,25,NOR,WR,16,16,147,125,1405,11.2,9,74,72.8,72,7.8,87.8,85.0,9.6,2,PBAP-1,ThomMi05
2,Zach Ertz,28,PHI,TE,16,16,156,116,1163,10.0,8,66,57.1,34,7.3,72.7,74.4,7.5,1,PB,ErtzZa00
3,DeAndre Hopkins,26,HOU,WR,16,16,163,115,1572,13.7,11,81,61.3,49,7.2,98.3,70.6,9.6,2,PBAP-1AP OPoY-3,HopkDe00
4,Julio Jones,29,ATL,WR,16,16,170,113,1677,14.8,8,80,59.4,58,7.1,104.8,66.5,9.9,2,PBAP-2,JoneJu02
5,Adam Thielen,28,MIN,WR,16,16,153,113,1373,12.2,9,74,64.1,68,7.1,85.8,73.9,9.0,1,PB,ThieAd00
6,Davante Adams,26,GNB,WR,15,15,169,111,1386,12.5,13,64,53.3,57,7.4,92.4,65.7,8.2,0,PB,AdamDa01
7,JuJu Smith-Schuster,22,PIT,WR,16,13,166,111,1426,12.8,7,67,57.2,97,6.9,89.1,66.9,8.6,1,PB,SmitJu00
8,Christian McCaffrey,22,CAR,RB,16,16,124,107,867,8.1,6,41,55.6,38,6.7,54.2,86.3,7.0,4,AP-2,McCaCh01
9,Antonio Brown,30,PIT,WR,15,15,168,104,1297,12.5,15,63,48.8,78,6.9,86.5,61.9,7.7,0,PB,BrowAn04
10,Travis Kelce,29,KAN,TE,16,16,150,103,1336,13.0,10,68,62.7,43,6.4,83.5,68.7,8.9,2,PBAP-1,KelcTr00
11,Stefon Diggs,25,MIN,WR,15,14,149,102,1021,10.0,9,49,48.3,75,6.8,68.1,68.5,6.9,0,,DiggSt00
12,Keenan Allen,26,LAC,WR,16,14,136,97,1196,12.3,6,62,63.2,54,6.1,74.8,71.3,8.8,3,PB,AlleKe00
13,Saquon Barkley,21,NYG,RB,16,16,121,91,721,7.9,4,30,38.0,57,5.7,45.1,75.2,6.0,0,PBAP ORoY-1,BarkSa00
14,George Kittle,25,SFO,TE,16,16,136,88,1377,15.6,5,60,56.6,85,5.5,86.1,64.7,10.1,0,PBAP-2,KittGe00
15,Tyreek Hill,24,KAN,WR,16,16,137,87,1479,17.0,12,60,55.5,75,5.4,92.4,63.5,10.8,0,PBAP-1,HillTy00
16,James White,26,NWE,RB,16,3,123,87,751,8.6,7,38,52.8,42,5.4,46.9,70.7,6.1,0,,WhitJa02
17,Mike Evans,25,TAM,WR,16,16,138,86,1524,17.7,8,68,61.6,72,5.4,95.3,62.3,11.0,2,PB,EvanMi00
18,Robert Woods,26,LAR,WR,16,16,130,86,1219,14.2,6,66,59.2,39,5.4,76.2,66.2,9.4,0,,WoodRo02
19,Alvin Kamara,23,NOR,RB,15,13,105,81,709,8.8,4,31,52.4,42,5.4,47.3,77.1,6.8,1,PB,KamaAl00
20,Jarvis Landry,26,CLE,WR,16,14,149,81,976,12.0,4,44,40.9,51,5.1,61.0,54.4,6.6,1,PB,LandJa00
21,Brandin Cooks,25,LAR,WR,16,16,117,80,1204,15.1,5,56,57.3,57,5.0,75.3,68.4,10.3,1,,CookBr00
22,Odell Beckham Jr.,26,NYG,WR,12,12,124,77,1052,13.7,6,50,50.8,51,6.4,87.7,62.1,8.5,2,,BeckOd00
23,Ezekiel Elliott,23,DAL,RB,15,15,95,77,567,7.4,3,22,41.1,38,5.1,37.8,81.1,6.0,6,PBAP-2,ElliEz00
24,Tyler Boyd,24,CIN,WR,14,14,108,76,1028,13.5,7,54,63.0,49,5.4,73.4,70.4,9.5,0,,BoydTy00
25,T.Y. Hilton,29,IND,WR,14,14,120,76,1270,16.7,6,55,60.0,68,5.4,90.7,63.3,10.6,0,,HiltT.00
26,Adam Humphries,25,TAM,WR,16,10,105,76,816,10.7,5,48,57.1,51,4.8,51.0,72.4,7.8,2,,HumpAd00
27,Amari Cooper,24,2TM,WR,15,15,107,75,1005,13.4,7,53,62.6,90,5.0,67.0,70.1,9.4,2,PB,CoopAm00
27,Amari Cooper,24,OAK,WR,6,6,31,22,280,12.7,1,14,67.7,36,3.7,46.7,71.0,9.0,0,,CoopAm00
27,Amari Cooper,24,DAL,WR,9,9,76,53,725,13.7,6,39,60.5,90,5.9,80.6,69.7,9.5,2,,CoopAm00
28,Julian Edelman,32,NWE,WR,12,12,108,74,850,11.5,6,41,57.4,36,6.2,70.8,68.5,7.9,1,,EdelJu00
29,Golden Tate,30,2TM,WR,15,7,113,74,795,10.7,4,32,46.9,67,4.9,53.0,65.5,7.0,3,,TateGo00
29,Golden Tate,30,DET,WR,7,4,69,44,517,11.8,3,22,47.8,67,6.3,73.9,63.8,7.5,1,,TateGo00
29,Golden Tate,30,PHI,WR,8,3,44,30,278,9.3,1,10,45.5,32,3.8,34.8,68.2,6.3,2,,TateGo00
30,Tarik Cohen,23,CHI,RB,16,7,91,71,725,10.2,5,29,56.0,70,4.4,45.3,78.0,8.0,7,PBAP-1,CoheTa00
31,Austin Hooper,24,ATL,TE,16,7,88,71,660,9.3,4,30,59.1,36,4.4,41.3,80.7,7.5,0,PB,HoopAu00
32,Emmanuel Sanders,31,DEN,WR,12,12,98,71,868,12.2,4,37,56.1,64,5.9,72.3,72.4,8.9,1,,SandEm00
33,Kenny Golladay,25,DET,WR,15,13,119,70,1063,15.2,5,55,53.8,60,4.7,70.9,58.8,8.9,1,,GollKe00
34,Larry Fitzgerald,35,ARI,WR,16,16,112,69,734,10.6,6,39,50.9,37,4.3,45.9,61.6,6.6,0,,FitzLa00
35,Jared Cook,31,OAK,TE,16,14,101,68,896,13.2,6,46,57.4,45,4.3,56.0,67.3,8.9,0,PB,CookJa02
36,Jalen Richard,25,OAK,RB,16,1,81,68,607,8.9,0,23,53.1,32,4.3,37.9,84.0,7.5,3,,RichJa01
37,Taylor Gabriel,27,CHI,WR,16,11,93,67,688,10.3,2,31,53.8,54,4.2,43.0,72.0,7.4,1,,GabrTa00
38,Eric Ebron,25,IND,TE,16,8,110,66,750,11.4,13,39,51.8,53,4.1,46.9,60.0,6.8,1,PB,EbroEr00
39,Mohamed Sanu,29,ATL,WR,16,16,94,66,838,12.7,4,40,61.7,44,4.1,52.4,70.2,8.9,2,,SanuMo00
40,Sterling Shepard,25,NYG,WR,16,16,107,66,872,13.2,4,47,51.4,58,4.1,54.5,61.7,8.1,1,,ShepSt00
41,Dede Westbrook,25,JAX,WR,16,9,101,66,717,10.9,5,40,50.5,61,4.1,44.8,65.3,7.1,3,,WestDe00
42,Cole Beasley,29,DAL,WR,16,4,87,65,672,10.3,3,39,59.8,32,4.1,42.0,74.7,7.7,0,,BeasCo00
43,Corey Davis,23,TEN,WR,16,16,112,65,891,13.7,4,47,50.9,51,4.1,55.7,58.0,8.0,1,,DaviCo03
44,Alshon Jeffery,28,PHI,WR,13,13,92,65,843,13.0,6,48,60.9,52,5.0,64.8,70.7,9.2,1,,JeffAl00
