,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
45,Nelson Agholor,25,PHI,WR,16,16,97,64,736,11.5,4,28,45.4,83,4.0,46.0,66.0,7.6,1,,AghoNe00
46,Calvin Ridley,24,ATL,WR,16,5,92,64,821,12.8,10,39,51.1,75,4.0,51.3,69.6,8.9,2,,RidlCa00
47,Kyle Rudolph,29,MIN,TE,16,16,82,64,634,9.9,4,32,61.0,44,4.0,39.6,78.0,7.7,0,,RudoKy00
48,Nyheim Hines,22,IND,RB,16,4,81,63,425,6.7,2,29,46.9,28,3.9,26.6,77.8,5.2,1,,HineNy00
49,Jordy Nelson,33,OAK,WR,15,14,88,63,739,11.7,3,36,60.2,66,4.2,49.3,71.6,8.4,1,,NelsJo00
50,Willie Snead,26,BAL,WR,16,10,95,62,651,10.5,1,37,50.5,28,3.9,40.7,65.3,6.9,0,,SneaWi00
51,Theo Riddick,27,DET,RB,14,3,74,61,384,6.3,0,16,39.2,20,4.4,27.4,82.4,5.2,0,,RiddTh00
52,Danny Amendola,33,MIA,WR,15,15,79,59,575,9.7,1,27,54.4,39,3.9,38.3,74.7,7.3,2,,AmenDa00
53,Chris Godwin,22,TAM,WR,16,5,95,59,842,14.3,7,48,58.9,48,3.7,52.6,62.1,8.9,4,,GodwCh00
54,Todd Gurley,24,LAR,RB,14,14,81,59,580,9.8,4,26,53.1,56,4.2,41.4,72.8,7.2,1,PBAP-1AP OPoY-3,GurlTo01
55,Dion Lewis,28,TEN,RB,16,7,67,59,400,6.8,1,13,41.8,37,3.7,25.0,88.1,6.0,1,,LewiDi00
56,Demaryius Thomas,31,2TM,WR,15,15,89,59,677,11.5,5,36,49.4,45,3.9,45.1,66.3,7.6,0,,ThomDe03
56,Demaryius Thomas,31,DEN,WR,8,8,56,36,402,11.2,3,21,50.0,45,4.5,50.3,64.3,7.2,0,,ThomDe03
56,Demaryius Thomas,31,HOU,WR,7,7,33,23,275,12.0,2,15,48.5,31,3.3,39.3,69.7,8.3,0,,ThomDe03
57,Tyler Lockett,26,SEA,WR,16,14,70,57,965,16.9,10,37,65.7,52,3.6,60.3,81.4,13.8,2,,LockTy00
58,Zay Jones,23,BUF,WR,16,15,102,56,652,11.6,7,33,42.2,57,3.5,40.8,54.9,6.4,1,,JoneZa00
59,David Njoku,22,CLE,TE,16,14,88,56,639,11.4,4,27,45.5,66,3.5,39.9,63.6,7.3,0,,NjokDa00
60,James Conner,23,PIT,RB,13,12,71,55,497,9.0,1,20,52.1,29,4.2,38.2,77.5,7.0,4,PB,ConnJa00
61,Jimmy Graham,32,GNB,TE,16,12,89,55,636,11.6,2,32,47.2,54,3.4,39.8,61.8,7.1,0,,GrahJi00
62,D.J. Moore,21,CAR,WR,16,10,82,55,788,14.3,2,33,53.7,82,3.4,49.3,67.1,9.6,4,,MoorD.00
63,Allen Robinson,25,CHI,WR,13,12,94,55,754,13.7,4,36,52.1,43,4.2,58.0,58.5,8.0,1,,RobiAl02
64,T.J. Yeldon,25,JAX,RB,14,5,78,55,487,8.9,4,20,46.2,37,3.9,34.8,70.5,6.2,1,,YeldT.00
65,Trey Burton,27,CHI,TE,16,16,76,54,569,10.5,6,29,57.9,47,3.4,35.6,71.1,7.5,1,,BurtTr01
66,Michael Crabtree,31,BAL,WR,16,16,100,54,607,11.2,3,35,47.0,27,3.4,37.9,54.0,6.1,0,,CrabMi00
67,Jordan Reed,28,WAS,TE,13,8,84,54,558,10.3,2,26,50.0,34,4.2,42.9,64.3,6.6,1,,ReedJo02
68,Kenyan Drake,24,MIA,RB,16,7,73,53,477,9.0,5,23,45.2,52,3.3,29.8,72.6,6.5,2,,DrakKe00
69,Chester Rogers,24,IND,WR,16,10,72,53,485,9.2,2,28,54.2,34,3.3,30.3,73.6,6.7,1,,RogeCh02
70,Doug Baldwin,30,SEA,WR,13,13,73,50,618,12.4,5,32,54.8,42,3.8,47.5,68.5,8.5,0,,BaldDo00
71,Robbie Chosen,25,NYJ,WR,14,9,94,50,752,15.0,6,30,46.8,76,3.6,53.7,53.2,8.0,2,,AndeRo04
72,Melvin Gordon,25,LAC,RB,12,12,66,50,490,9.8,4,21,48.5,66,4.2,40.8,75.8,7.4,1,PB,GordMe00
73,David Johnson,27,ARI,RB,16,16,76,50,446,8.9,3,22,34.2,40,3.1,27.9,65.8,5.9,3,,JohnDa08
74,Vance McDonald,28,PIT,TE,15,14,72,50,610,12.2,4,33,55.6,75,3.3,40.7,69.4,8.5,2,,McDoVa00
75,Donte Moncrief,25,JAX,WR,16,14,89,48,668,13.9,3,28,50.6,80,3.0,41.8,53.9,7.5,1,,MoncDo00
76,Rob Gronkowski,29,NWE,TE,13,11,72,47,682,14.5,3,34,62.5,42,3.6,52.5,65.3,9.5,1,,GronRo00
77,Duke Johnson,25,CLE,RB,16,2,62,47,429,9.1,3,25,46.8,32,2.9,26.8,75.8,6.9,1,,JohnDu00
78,A.J. Green,30,CIN,WR,9,9,77,46,694,15.1,6,37,57.1,38,5.1,77.1,59.7,9.0,2,,GreeA.00
79,Evan Engram,24,NYG,TE,11,8,64,45,577,12.8,3,22,43.8,54,4.1,52.5,70.3,9.0,0,,EngrEv00
80,Seth Roberts,27,OAK,WR,15,7,64,45,494,11.0,2,24,53.1,44,3.0,32.9,70.3,7.7,0,,RobeSe00
81,Josh Doctson,26,WAS,WR,15,12,78,44,532,12.1,2,31,51.3,32,2.9,35.5,56.4,6.8,0,,DoctJo00
82,Devin Funchess,24,CAR,WR,14,12,79,44,549,12.5,4,35,50.6,27,3.1,39.2,55.7,6.9,0,,FuncDe00
83,Antonio Callaway,21,CLE,WR,16,11,79,43,586,13.6,5,27,44.3,71,2.7,36.6,54.4,7.4,1,,CallAn00
84,Christian Kirk,22,ARI,WR,12,7,68,43,590,13.7,3,21,44.1,75,3.6,49.2,63.2,8.7,0,,KirkCh01
85,Joe Mixon,22,CIN,RB,14,13,55,43,296,6.9,1,14,50.9,21,3.1,21.1,78.2,5.4,0,,MixoJo00
86,C.J. Uzomah,25,CIN,TE,16,15,64,43,439,10.2,3,21,57.8,29,2.7,27.4,67.2,6.9,0,,UzomC.00
87,Mike Williams,24,LAC,WR,16,5,66,43,664,15.4,10,36,59.1,55,2.7,41.5,65.2,10.1,0,,WillMi07
88,Jarius Wright,29,CAR,WR,16,6,59,43,447,10.4,1,24,57.6,33,2.7,27.9,72.9,7.6,3,,WrigJa02
89,Kendrick Bourne,23,SFO,WR,16,8,66,42,487,11.6,4,30,54.5,33,2.6,30.4,63.6,7.4,1,,BourKe00
90,John Brown,28,BAL,WR,16,15,97,42,715,17.0,5,28,38.1,71,2.6,44.7,43.3,7.4,0,,BrowJo02
91,Courtland Sutton,23,DEN,WR,16,9,84,42,704,16.8,4,30,45.2,42,2.6,44.0,50.0,8.4,0,,SuttCo00
92,DeSean Jackson,32,TAM,WR,12,10,74,41,774,18.9,4,31,51.4,75,3.4,64.5,55.4,10.5,0,,JackDe00
93,Chris Thompson,28,WAS,RB,10,0,55,41,268,6.5,1,12,40.0,23,4.1,26.8,74.5,4.9,1,,ThomCh03
94,Tyrell Williams,26,LAC,WR,16,10,65,41,653,15.9,5,30,53.8,75,2.6,40.8,63.1,10.0,2,,WillTy00
95,Josh Gordon,27,2TM,WR,12,12,71,41,737,18.0,4,30,52.1,55,3.4,61.4,57.7,10.4,0,,GordJo02
95,Josh Gordon,27,CLE,WR,1,1,3,1,17,17.0,1,1,33.3,17,1.0,17.0,33.3,5.7,0,,GordJo02
95,Josh Gordon,27,NWE,WR,11,11,68,40,720,18.0,3,29,52.9,55,3.6,65.5,58.8,10.6,0,,GordJo02
96,Dalvin Cook,23,MIN,RB,11,10,49,40,305,7.6,2,15,51.0,27,3.6,27.7,81.6,6.2,2,,CookDa01
97,Cooper Kupp,25,LAR,WR,8,8,55,40,566,14.2,6,25,60.0,70,5.0,70.8,72.7,10.3,0,,KuppCo00
98,Sammy Watkins,25,KAN,WR,10,9,55,40,519,13.0,3,24,65.5,50,4.0,51.9,72.7,9.4,1,,WatkSa00
99,Austin Ekeler,23,LAC,RB,14,3,53,39,404,10.4,3,18,52.8,44,2.8,28.9,73.6,7.6,1,,EkelAu00
100,Chris Herndon,22,NYJ,TE,16,12,56,39,502,12.9,4,25,60.7,32,2.4,31.4,69.6,9.0,2,,HernCh00
101,Rashard Higgins,24,CLE,WR,13,1,53,39,572,14.7,4,27,64.2,40,3.0,44.0,73.6,10.8,2,,HiggRa00
102,Curtis Samuel,22,CAR,WR,13,8,65,39,494,12.7,5,24,49.2,53,3.0,38.0,60.0,7.6,1,,SamuCu00
103,Devontae Booker,26,DEN,RB,16,0,51,38,275,7.2,0,9,51.0,30,2.4,17.2,74.5,5.4,1,,BookDe00
104,Randall Cobb,28,GNB,WR,9,6,61,38,383,10.1,2,18,45.9,75,4.2,42.6,62.3,6.3,2,,CobbRa00
105,Keelan Cole,25,JAX,WR,16,11,70,38,491,12.9,1,25,52.9,35,2.4,30.7,54.3,7.0,2,,ColeKe00
106,Quincy Enunwa,26,NYJ,WR,11,10,68,38,449,11.8,1,22,42.6,42,3.5,40.8,55.9,6.6,2,,EnunQu00
107,Jacquizz Rodgers,28,TAM,RB,16,0,45,38,304,8.0,0,13,55.6,24,2.4,19.0,84.4,6.8,1,,RodgJa00
108,Marquez Valdes-Scantling,24,GNB,WR,16,10,73,38,581,15.3,2,23,43.8,60,2.4,36.3,52.1,8.0,0,,ValdMa00
109,Jermaine Kearse,28,NYJ,WR,14,9,76,37,371,10.0,1,20,39.5,29,2.6,26.5,48.7,4.9,0,,KearJe01
110,Kenny Stills,26,MIA,WR,15,15,64,37,553,14.9,6,27,53.1,75,2.5,36.9,57.8,8.6,1,,StilKe00
111,Taywan Taylor,23,TEN,WR,13,5,56,37,466,12.6,1,19,57.1,55,2.8,35.8,66.1,8.3,1,,TaylTa00
112,Ryan Switzer,24,PIT,WR,16,1,44,36,253,7.0,1,15,50.0,24,2.3,15.8,81.8,5.8,2,,SwitRy00
113,Ian Thomas,22,CAR,TE,16,6,49,36,333,9.3,2,20,53.1,31,2.3,20.8,73.5,6.8,0,,ThomIa00
114,Javorius Allen,27,BAL,RB,14,0,43,35,196,5.6,2,11,44.2,17,2.5,14.0,81.4,4.6,1,,AlleJa01
115,Giovani Bernard,27,CIN,RB,12,4,48,35,218,6.2,0,8,41.7,26,2.9,18.2,72.9,4.5,0,,BernGi00
116,Ryan Grant,28,IND,WR,14,10,52,35,334,9.5,1,18,57.7,23,2.5,23.9,67.3,6.4,0,,GranRy01
117,Chris Hogan,31,NWE,WR,16,7,55,35,532,15.2,3,22,56.4,63,2.2,33.3,63.6,9.7,0,,HogaCh00
118,Marvin Jones,28,DET,WR,9,9,62,35,508,14.5,5,27,51.6,39,3.9,56.4,56.5,8.2,0,,JoneMa02
119,Phillip Lindsay,24,DEN,RB,15,8,47,35,241,6.9,1,12,44.7,29,2.3,16.1,74.5,5.1,0,PB,LindPh00
120,Laquon Treadwell,23,MIN,WR,15,7,53,35,302,8.6,1,16,45.3,22,2.3,20.1,66.0,5.7,0,,TreaLa00
121,Ben Watson,38,NOR,TE,16,4,46,35,400,11.4,2,21,63.0,32,2.2,25.0,76.1,8.7,0,,WatsBe00
122,Mark Andrews,23,BAL,TE,16,3,50,34,552,16.2,3,28,64.0,74,2.1,34.5,68.0,11.0,0,,AndrMa00
123,Mike Davis,25,SEA,RB,15,2,42,34,214,6.3,1,10,47.6,18,2.3,14.3,81.0,5.1,0,,DaviMi01
124,O.J. Howard,24,TAM,TE,10,8,48,34,565,16.6,5,28,64.6,75,3.4,56.5,70.8,11.8,0,,HowaO.00
125,LeSean McCoy,30,BUF,RB,14,13,46,34,238,7.0,0,10,37.0,24,2.4,17.0,73.9,5.2,0,,McCoLe01
126,Ricky Seals-Jones,23,ARI,TE,15,5,69,34,343,10.1,1,14,39.1,40,2.3,22.9,49.3,5.0,0,,SealRi00
127,Gerald Everett,24,LAR,TE,16,0,50,33,320,9.7,3,16,48.0,40,2.1,20.0,66.0,6.4,0,,EverGe00
128,Michael Gallup,22,DAL,WR,16,8,68,33,507,15.4,2,21,41.2,49,2.1,31.7,48.5,7.5,0,,GallMi00
129,Dallas Goedert,23,PHI,TE,16,8,44,33,334,10.1,4,15,59.1,32,2.1,20.9,75.0,7.6,0,,GoedDa00
130,Anthony Miller,24,CHI,WR,15,4,54,33,423,12.8,7,19,50.0,55,2.2,28.2,61.1,7.8,1,,MillAn02
131,Tevin Coleman,25,ATL,RB,16,14,44,32,276,8.6,5,15,52.3,39,2.0,17.3,72.7,6.3,2,,ColeTe01
132,Chris Conley,26,KAN,WR,16,13,52,32,334,10.4,5,18,55.8,27,2.0,20.9,61.5,6.4,2,,ConlCh00
133,Phillip Dorsett,25,NWE,WR,16,2,42,32,290,9.1,3,14,59.5,20,2.0,18.1,76.2,6.9,0,,DorsPh00
134,Will Fuller,24,HOU,WR,7,7,45,32,503,15.7,4,22,60.0,73,4.6,71.9,71.1,11.2,0,,FullWi01
135,Kerryon Johnson,21,DET,RB,10,7,39,32,213,6.7,1,11,53.8,24,3.2,21.3,82.1,5.5,1,,JohnKe06
136,Jeff Heuerman,26,DEN,TE,11,10,48,31,281,9.1,2,14,54.2,36,2.8,25.5,64.6,5.9,0,,HeueJe00
137,Bruce Ellington,27,2TM,WR,7,3,42,31,224,7.2,1,14,40.5,23,4.4,32.0,73.8,5.3,1,,ElliBr00
137,Bruce Ellington,27,HOU,WR,3,1,12,8,92,11.5,1,5,50.0,23,2.7,30.7,66.7,7.7,0,,ElliBr00
137,Bruce Ellington,27,DET,WR,4,2,30,23,132,5.7,0,9,36.7,21,5.8,33.0,76.7,4.4,1,,ElliBr00
138,Cameron Brate,27,TAM,TE,16,2,49,30,289,9.6,6,18,49.0,21,1.9,18.1,61.2,5.9,1,,BratCa00
139,DaeSean Hamilton,23,DEN,WR,14,5,45,30,243,8.1,2,16,46.7,24,2.1,17.4,66.7,5.4,0,,HamiDa01
140,Jesse James,24,PIT,TE,16,7,39,30,423,14.1,2,17,69.2,51,1.9,26.4,76.9,10.8,0,,JameJe00
141,Kyle Juszczyk,27,SFO,FB,16,14,41,30,324,10.8,1,15,51.2,56,1.9,20.3,73.2,7.9,2,PB,JuszKy00
142,Jamison Crowder,25,WAS,WR,9,7,49,29,388,13.4,2,15,44.9,79,3.2,43.1,59.2,7.9,0,,CrowJa00
143,Josh Reynolds,23,LAR,WR,16,8,53,29,402,13.9,5,23,47.2,33,1.8,25.1,54.7,7.6,0,,ReynJo00
144,Nick Vannett,25,SEA,TE,15,9,43,29,269,9.3,3,17,58.1,32,1.9,17.9,67.4,6.3,1,,VannNi00
145,Keke Coutee,21,HOU,WR,6,2,41,28,287,10.3,1,13,48.8,40,4.7,47.8,68.3,7.0,0,,CoutKe00
146,Antonio Gates,38,LAC,TE,16,1,45,28,333,11.9,2,19,53.3,27,1.8,20.8,62.2,7.4,1,,GateAn00
147,Maurice Harris,26,WAS,WR,12,7,47,28,304,10.9,0,12,40.4,42,2.3,25.3,59.6,6.5,1,,HarrMa05
148,Dontrelle Inman,29,IND,WR,9,4,39,28,304,10.9,3,16,64.1,29,3.1,33.8,71.8,7.8,0,,InmaDo00
149,Wendell Smallwood,24,PHI,RB,16,6,35,28,230,8.2,2,9,42.9,36,1.8,14.4,80.0,6.6,2,,SmalWe00
150,Tre'Quan Smith,22,NOR,WR,15,7,44,28,427,15.3,5,23,61.4,62,1.9,28.5,63.6,9.7,0,,SmitTr03
151,Matt Breida,23,SFO,RB,14,13,31,27,261,9.7,2,12,67.7,26,1.9,18.6,87.1,8.4,1,,BreiMa00
152,Robert Foster,24,BUF,WR,13,3,44,27,541,20.0,3,20,52.3,75,2.1,41.6,61.4,12.3,0,,FostRo01
153,Blake Jarwin,24,DAL,TE,16,4,36,27,307,11.4,3,16,61.1,39,1.7,19.2,75.0,8.5,0,,JarwBl00
154,Greg Olsen,33,CAR,TE,9,9,38,27,291,10.8,4,18,65.8,23,3.0,32.3,71.1,7.7,0,,OlseGr00
155,Zach Pascal,24,IND,WR,16,4,46,27,268,9.9,2,15,47.8,28,1.7,16.8,58.7,5.8,0,,PascZa00
156,Dante Pettis,23,SFO,WR,12,7,45,27,467,17.3,5,19,44.4,75,2.3,38.9,60.0,10.4,2,,PettDa00
157,Ito Smith,23,ATL,RB,14,0,32,27,152,5.6,0,9,46.9,20,1.9,10.9,84.4,4.8,1,,SmitIt00
158,Jamaal Williams,23,GNB,RB,16,8,41,27,210,7.8,0,11,48.8,26,1.7,13.1,65.9,5.1,0,,WillJa06
159,Jack Doyle,28,IND,TE,6,6,33,26,245,9.4,2,14,63.6,20,4.3,40.8,78.8,7.4,1,,DoylJa00
160,Kareem Hunt,23,KAN,RB,11,11,35,26,378,14.5,7,16,62.9,67,2.4,34.4,74.3,10.8,0,,HuntKa00
161,Aaron Jones,24,GNB,RB,12,8,35,26,206,7.9,1,12,51.4,24,2.2,17.2,74.3,5.9,1,,JoneAa00
162,David Moore,23,SEA,WR,16,7,53,26,445,17.1,5,19,37.7,54,1.6,27.8,49.1,8.4,2,,MoorDa03
163,Jaylen Samuels,22,PIT,RB,14,3,29,26,199,7.7,3,10,62.1,23,1.9,14.2,89.7,6.9,1,,SamuJa00
164,Tajae Sharpe,24,TEN,WR,16,13,47,26,316,12.2,2,22,46.8,28,1.6,19.8,55.3,6.7,0,,SharTa00
165,Geoff Swaim,25,DAL,TE,9,9,32,26,242,9.3,1,11,46.9,43,2.9,26.9,81.3,7.6,0,,SwaiGe00
166,Trent Taylor,24,SFO,WR,14,0,41,26,215,8.3,1,11,41.5,23,1.9,15.4,63.4,5.2,1,,TaylTr02
167,Albert Wilson,26,MIA,WR,7,3,35,26,391,15.0,4,11,45.7,75,3.7,55.9,74.3,11.2,0,,WilsAl02
168,Vernon Davis,34,WAS,TE,14,8,36,25,367,14.7,2,15,52.8,53,1.8,26.2,69.4,10.2,0,,DaviVe00
169,Rhett Ellison,30,NYG,TE,14,12,34,25,272,10.9,1,13,58.8,29,1.8,19.4,73.5,8.0,0,,ElliRh00
170,Lamar Miller,27,HOU,RB,14,14,35,25,163,6.5,1,8,34.3,16,1.8,11.6,71.4,4.7,1,PB,MillLa01
171,Kelvin Benjamin,27,2TM,WR,15,10,67,25,380,15.2,1,16,32.8,40,1.7,25.3,37.3,5.7,0,,BenjKe00
171,Kelvin Benjamin,27,BUF,WR,12,10,62,23,354,15.4,1,15,32.3,40,1.9,29.5,37.1,5.7,0,,BenjKe00
171,Kelvin Benjamin,27,KAN,WR,3,0,5,2,26,13.0,0,1,40.0,17,0.7,8.7,40.0,5.2,0,,BenjKe00
172,Ty Montgomery,25,2TM,WR,13,0,40,25,235,9.4,0,7,42.5,43,1.9,18.1,62.5,5.9,2,,MontTy01
172,Ty Montgomery,25,GNB,WR,7,0,23,15,170,11.3,0,5,43.5,43,2.1,24.3,65.2,7.4,2,,MontTy01
172,Ty Montgomery,25,BAL,WR,6,0,17,10,65,6.5,0,2,41.2,14,1.7,10.8,58.8,3.8,0,,MontTy01
173,Pierre Garcon,32,SFO,WR,8,8,46,24,286,11.9,1,14,45.7,25,3.0,35.8,52.2,6.2,0,,GarcPi00
174,Ryan Griffin,28,HOU,TE,14,11,43,24,305,12.7,0,15,46.5,47,1.7,21.8,55.8,7.1,0,,GrifRy00
175,Tyler Higbee,25,LAR,TE,16,16,34,24,292,12.2,2,16,64.7,36,1.5,18.3,70.6,8.6,1,,HigbTy00
176,Matt LaCosse,26,DEN,TE,15,5,37,24,250,10.4,1,11,51.4,44,1.6,16.7,64.9,6.8,0,,LaCoMa00
177,James O'Shaughnessy,26,JAX,TE,14,9,38,24,214,8.9,0,10,44.7,17,1.7,15.3,63.2,5.6,0,,O'ShJa00
178,DeVante Parker,25,MIA,WR,11,7,47,24,309,12.9,1,14,36.2,46,2.2,28.1,51.1,6.6,0,,ParkDe01
179,Nick Boyle,25,BAL,TE,16,13,37,23,213,9.3,0,10,51.4,25,1.4,13.3,62.2,5.8,0,,BoylNi00
180,Marquise Goodwin,28,SFO,WR,11,8,43,23,395,17.2,4,19,53.5,67,2.1,35.9,53.5,9.2,1,,GoodMa00
181,Tim Patrick,25,DEN,WR,16,4,41,23,315,13.7,1,15,43.9,26,1.4,19.7,56.1,7.7,2,,PatrTi00
182,Damien Williams,26,KAN,RB,16,3,24,23,160,7.0,2,9,66.7,32,1.4,10.0,95.8,6.7,1,,WillDa05
