Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Marvin Harrison,30,IND,WR,16,16,205,143,1722,12.0,11,92,58.0,69,8.9,107.6,69.8,8.4,0,PBAP-1AP OPoY-2,HarrMa00
2,Hines Ward,26,PIT,WR,16,16,160,112,1329,11.9,12,65,58.1,72,7.0,83.1,70.0,8.3,1,PBAP-2,WardHi00
3,Randy Moss,25,MIN,WR,16,16,185,106,1347,12.7,7,67,48.6,60,6.6,84.2,57.3,7.3,1,PB,MossRa00
4,Eric Moulds,29,BUF,WR,16,15,180,100,1292,12.9,10,66,46.1,70,6.3,80.8,55.6,7.2,1,PBAP-2,MoulEr00
5,Terrell Owens,29,SFO,WR,14,14,159,100,1300,13.0,13,63,52.8,76,7.1,92.9,62.9,8.2,0,PBAP-1,OwenTe00
6,Marty Booker,26,CHI,WR,16,16,168,97,1189,12.3,6,52,46.4,54,6.1,74.3,57.7,7.1,0,PB,BookMa00
7,Troy Brown,31,NWE,WR,14,13,141,97,890,9.2,3,48,56.0,38,6.9,63.6,68.8,6.3,4,,BrowTr00
8,Peerless Price,26,BUF,WR,16,16,148,94,1252,13.3,9,58,56.1,73,5.9,78.3,63.5,8.5,2,,PricPe00
9,Jerry Rice,40,OAK,WR,16,16,150,92,1211,13.2,7,59,60.0,75,5.8,75.7,61.3,8.1,1,PBAP-2,RiceJe00
10,Charlie Garner,30,OAK,RB,16,15,111,91,941,10.3,4,47,64.0,69,5.7,58.8,82.0,8.5,0,,GarnCh00
11,Torry Holt,26,STL,WR,16,11,160,91,1302,14.3,4,71,53.8,58,5.7,81.4,56.9,8.1,1,,HoltTo00
12,Laveranues Coles,25,NYJ,WR,16,16,134,89,1264,14.2,5,67,63.4,43,5.6,79.0,66.4,9.4,1,,ColeLa00
13,Rod Smith,32,DEN,WR,16,16,147,89,1027,11.5,5,54,51.0,46,5.6,64.2,60.5,7.0,1,,SmitRo01
14,Joe Horn,30,NOR,WR,16,16,149,88,1312,14.9,7,65,53.0,63,5.5,82.0,59.1,8.8,1,PB,HornJo00
15,Amani Toomer,28,NYG,WR,16,16,134,82,1343,16.4,8,59,58.2,82,5.1,83.9,61.2,10.0,0,,ToomAm00
16,Tim Brown,36,OAK,WR,16,16,127,81,930,11.5,2,46,58.3,45,5.1,58.1,63.8,7.3,3,,BrowTi00
17,Marshall Faulk,29,STL,RB,14,10,102,80,537,6.7,2,23,44.1,40,5.7,38.4,78.4,5.3,4,PB,FaulMa00
18,Jimmy Smith,33,JAX,WR,16,16,137,80,1027,12.8,7,53,48.2,47,5.0,64.2,58.4,7.5,0,,SmitJi00
19,Isaac Bruce,30,STL,WR,16,16,130,79,1075,13.6,7,50,53.1,34,4.9,67.2,60.8,8.3,2,,BrucIs00
20,Derrick Mason,28,TEN,WR,14,14,125,79,1012,12.8,5,56,55.2,40,5.6,72.3,63.2,8.1,2,,MasoDe00
21,LaDainian Tomlinson,23,SDG,RB,16,16,101,79,489,6.2,1,21,44.6,30,4.9,30.6,78.2,4.8,3,PBAP-2,TomlLa00
22,Plaxico Burress,25,PIT,WR,16,15,144,78,1325,17.0,7,64,54.2,62,4.9,82.8,54.2,9.2,2,,BurrPl00
23,Koren Robinson,22,SEA,WR,16,16,141,78,1240,15.9,5,58,48.9,83,4.9,77.5,55.3,8.8,2,,RobiKo00
24,Keyshawn Johnson,30,TAM,WR,16,16,142,76,1088,14.3,5,53,50.7,76,4.8,68.0,53.5,7.7,0,,JohnKe00
25,Jeremy Shockey,22,NYG,TE,15,14,128,74,894,12.1,2,49,49.2,30,4.9,59.6,57.8,7.0,3,PBAP-1AP ORoY-2,ShocJe00
26,Tai Streets,25,SFO,WR,16,14,109,72,756,10.5,5,46,51.4,47,4.5,47.3,66.1,6.9,1,,StreTa00
27,Rod Gardner,25,WAS,WR,16,15,141,71,1006,14.2,8,51,46.8,43,4.4,62.9,50.4,7.1,1,,GardRo00
28,Donald Driver,27,GNB,WR,16,16,113,70,1064,15.2,9,47,56.6,85,4.4,66.5,61.9,9.4,1,PB,DrivDo00
29,Priest Holmes,29,KAN,RB,14,14,81,70,672,9.6,3,31,56.8,64,5.0,48.0,86.4,8.3,1,PBAP-1AP MVP-4AP OPoY-1,HolmPr00
30,Tiki Barber,27,NYG,RB,16,15,95,69,597,8.7,0,24,44.2,38,4.3,37.3,72.6,6.3,9,,BarbTi00
31,Chad Johnson,24,CIN,WR,16,14,137,69,1166,16.9,5,58,48.2,72,4.3,72.9,50.4,8.5,0,,JohnCh01
32,Ed McCaffrey,34,DEN,WR,16,16,103,69,903,13.1,2,44,57.3,69,4.3,56.4,67.0,8.8,1,,McCaEd00
33,Todd Heap,22,BAL,TE,16,16,122,68,836,12.3,6,45,46.7,43,4.3,52.3,55.7,6.9,0,PB,HeapTo00
34,Kevin Johnson,26,CLE,WR,16,15,120,67,703,10.5,4,39,43.3,30,4.2,43.9,55.8,5.9,0,,JohnKe01
35,Tony Gonzalez,26,KAN,TE,16,16,99,63,773,12.3,7,39,53.5,42,3.9,48.3,63.6,7.8,0,PBAP-2,GonzTo00
36,Muhsin Muhammad,29,CAR,WR,14,14,108,63,823,13.1,3,40,50.0,42,4.5,58.8,58.3,7.6,0,,MuhaMu00
37,Jamel White,25,CLE,RB,14,6,86,63,452,7.2,0,15,32.6,33,4.5,32.3,73.3,5.3,0,,WhitJa00
38,Darrell Jackson,24,SEA,WR,13,13,112,62,877,14.1,4,37,47.3,48,4.8,67.5,55.4,7.8,3,,JackDa00
39,Joey Galloway,31,DAL,WR,16,16,120,61,908,14.9,6,33,43.3,80,3.8,56.8,50.8,7.6,2,,GallJo00
40,Edgerrin James,24,IND,RB,14,14,80,61,354,5.8,1,17,36.3,23,4.4,25.3,76.3,4.4,4,AP CPoY-5,JameEd00
41,Keenan McCardell,32,TAM,WR,14,14,101,61,670,11.0,6,31,51.5,65,4.4,47.9,60.4,6.6,1,,McCaKe00
42,David Patten,28,NWE,WR,16,14,120,61,824,13.5,5,39,45.0,39,3.8,51.5,50.8,6.9,0,,PattDa00
43,Shannon Sharpe,34,DEN,TE,13,13,88,61,686,11.2,3,32,58.0,82,4.7,52.8,69.3,7.8,0,,SharSh00
44,Travis Taylor,24,BAL,WR,16,15,118,61,869,14.2,6,40,48.3,64,3.8,54.3,51.7,7.4,0,,TaylTr01
45,Todd Pinkston,25,PHI,WR,15,15,113,60,798,13.3,7,40,44.2,42,4.0,53.2,53.1,7.1,2,,PinkTo00
46,Shaun Alexander,25,SEA,RB,16,16,78,59,460,7.8,2,20,43.6,80,3.7,28.8,75.6,5.9,3,,AlexSh00
47,Michael Pittman,27,TAM,RB,16,15,86,59,477,8.1,0,19,40.7,64,3.7,29.8,68.6,5.5,3,,PittMi00
48,Curtis Conway,31,SDG,WR,13,13,94,57,852,14.9,5,42,53.2,52,4.4,65.5,60.6,9.1,2,,ConwCu00
49,Ahman Green,25,GNB,RB,14,14,74,57,393,6.9,2,19,48.6,23,4.1,28.1,77.0,5.3,4,PB,GreeAh00
50,Brian Finneran,26,ATL,WR,16,16,102,56,838,15.0,6,41,48.0,47,3.5,52.4,54.9,8.2,2,,FinnBr00
51,Terry Glenn,28,GNB,WR,15,14,106,56,817,14.6,2,43,46.2,49,3.7,54.5,52.8,7.7,1,,GlenTe00
52,Quincy Morgan,25,CLE,WR,16,16,97,56,964,17.2,7,34,50.5,78,3.5,60.3,57.7,9.9,2,,MorgQu00
53,Bubba Franks,24,GNB,TE,16,15,71,54,442,8.2,7,28,70.4,20,3.4,27.6,76.1,6.2,0,PB,FranBu00
54,Steve Smith Sr.,23,CAR,WR,15,13,98,54,872,16.1,3,33,45.9,69,3.6,58.1,55.1,8.9,5,,SmitSt01
55,Eddie Kennison,29,KAN,WR,16,14,92,53,906,17.1,2,44,55.4,64,3.3,56.6,57.6,9.8,0,,KennEd00
56,Derrius Thompson,25,WAS,WR,16,14,93,53,773,14.6,4,35,50.5,47,3.3,48.3,57.0,8.3,2,,ThomDe00
57,Peter Warrick,25,CIN,WR,15,10,81,53,606,11.4,6,27,54.3,37,3.5,40.4,65.4,7.5,2,,WarrPe00
58,Chris Chambers,24,MIA,WR,15,15,100,52,734,14.1,3,38,47.0,59,3.5,48.9,52.0,7.3,1,,ChamCh00
59,James Thrash,27,PHI,WR,16,16,107,52,635,12.2,6,26,41.1,39,3.3,39.7,48.6,5.9,1,,ThraJa00
60,Wayne Chrebet,29,NYJ,WR,15,15,80,51,691,13.5,9,38,56.3,37,3.4,46.1,63.8,8.6,2,,ChreWa00
61,Billy Miller,25,HOU,TE,16,7,80,51,613,12.0,3,33,57.5,42,3.2,38.3,63.8,7.7,0,,MillBi00
62,Jerry Porter,24,OAK,WR,16,14,70,51,688,13.5,9,36,67.1,36,3.2,43.0,72.9,9.8,0,,PortJe00
63,Duce Staley,27,PHI,RB,16,16,69,51,541,10.6,3,20,60.9,45,3.2,33.8,73.9,7.8,3,,StalDu00
64,Dez White,23,CHI,WR,16,14,94,51,656,12.9,4,28,42.6,76,3.2,41.0,54.3,7.0,1,,WhitDe00
65,D'Wayne Bates,27,MIN,WR,14,11,80,50,689,13.8,4,35,57.5,59,3.6,49.2,62.5,8.6,2,,BateDW00
66,Warrick Dunn,27,ATL,RB,15,14,66,50,377,7.5,2,16,39.4,31,3.3,25.1,75.8,5.7,4,,DunnWa00
67,Tim Dwight,27,SDG,WR,16,14,93,50,623,12.5,2,33,47.3,42,3.1,38.9,53.8,6.7,1,,DwigTi00
68,Bobby Engram,29,SEA,WR,15,6,72,50,619,12.4,0,43,63.9,38,3.3,41.3,69.4,8.6,2,,EngrBo00
69,Curtis Martin,29,NYJ,RB,16,16,56,49,362,7.4,0,17,53.6,28,3.1,22.6,87.5,6.5,0,,MartCu00
70,Fred Taylor,26,JAX,RB,16,16,57,49,408,8.3,0,15,56.1,72,3.1,25.5,86.0,7.2,3,AP CPoY-5,TaylFr00
71,Reggie Wayne,24,IND,WR,16,7,72,49,716,14.6,4,35,54.2,49,3.1,44.8,68.1,9.9,2,,WaynRe00
