,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
17,Jarvis Landry,22,MIA,WR,16,11,112,84,758,9.0,5,50,52.7,25,5.3,47.4,75.0,6.8,7,,LandJa00
18,Greg Olsen,29,CAR,TE,16,16,123,84,1008,12.0,6,55,61.0,38,5.3,63.0,68.3,8.2,1,PB,OlseGr00
19,Le'Veon Bell,22,PIT,RB,16,16,105,83,854,10.3,3,41,60.0,48,5.2,53.4,79.0,8.1,0,PBAP-1AP OPoY-4,BellLe00
20,Anquan Boldin,34,SFO,WR,16,16,130,83,1062,12.8,5,56,56.2,76,5.2,66.4,63.8,8.2,0,,BoldAn00
21,Rob Gronkowski,25,NWE,TE,15,10,131,82,1124,13.7,12,60,55.7,46,5.5,74.9,62.6,8.6,0,PBAP-1AP OPoY-5AP CPoY-1,GronRo00
22,T.Y. Hilton,25,IND,WR,15,15,131,82,1345,16.4,7,64,56.5,73,5.5,89.7,62.6,10.3,3,PB,HiltT.00
23,Roddy White,33,ATL,WR,14,14,125,80,921,11.5,7,55,56.0,39,5.7,65.8,64.0,7.4,3,,WhitRo00
24,Steve Smith Sr.,35,BAL,WR,16,16,134,79,1065,13.5,6,45,47.0,80,4.9,66.6,59.0,7.9,2,,SmitSt01
25,Keenan Allen,22,SDG,WR,14,14,121,77,783,10.2,4,41,49.6,35,5.5,55.9,63.6,6.5,2,,AlleKe00
26,DeAndre Hopkins,22,HOU,WR,16,16,127,76,1210,15.9,6,57,53.5,76,4.8,75.6,59.8,9.5,2,,HopkDe00
27,Eric Decker,27,NYJ,WR,15,15,115,74,962,13.0,5,47,53.9,74,4.9,64.1,64.3,8.4,0,,DeckEr00
28,Brandon LaFell,28,NWE,WR,16,13,119,74,953,12.9,7,50,52.9,56,4.6,59.6,62.2,8.0,1,,LaFeBr00
29,Kelvin Benjamin,23,CAR,WR,16,15,145,73,1008,13.8,9,52,43.4,51,4.6,63.0,50.3,7.0,1,,BenjKe00
30,James Jones,30,OAK,WR,16,10,112,73,666,9.1,6,40,42.9,42,4.6,41.6,65.2,5.9,3,,JoneJa04
31,Calvin Johnson,29,DET,WR,13,13,128,71,1077,15.2,8,59,53.9,67,5.5,82.8,55.5,8.4,0,PB,JohnCa00
32,Rueben Randle,23,NYG,WR,16,13,127,71,938,13.2,3,48,48.0,49,4.4,58.6,55.9,7.4,0,,RandRu00
33,Vincent Jackson,31,TAM,WR,16,16,142,70,1002,14.3,2,50,46.5,50,4.4,62.6,49.3,7.1,1,,JackVi00
34,Antonio Gates,34,SDG,TE,16,14,98,69,821,11.9,12,44,66.3,34,4.3,51.3,70.4,8.4,1,,GateAn00
35,A.J. Green,26,CIN,WR,13,13,117,69,1041,15.1,6,46,53.0,81,5.3,80.1,59.0,8.9,3,PB,GreeA.00
36,Michael Crabtree,27,SFO,WR,16,16,108,68,698,10.3,4,35,44.4,51,4.3,43.6,63.0,6.5,0,,CrabMi00
37,Mike Evans,21,TAM,WR,15,15,122,68,1051,15.5,12,46,46.7,56,4.5,70.1,55.7,8.6,0,AP ORoY-3,EvanMi00
38,Pierre Garcon,28,WAS,WR,16,14,105,68,752,11.1,3,33,45.7,70,4.3,47.0,64.8,7.2,0,,GarcPi00
39,Travis Kelce,25,KAN,TE,16,11,87,67,862,12.9,5,46,69.0,34,4.2,53.9,77.0,9.9,4,,KelcTr00
40,Jordan Matthews,22,PHI,WR,16,10,103,67,872,13.0,8,43,52.4,44,4.2,54.5,65.0,8.5,0,,MattJo00
41,Mike Wallace,28,MIA,WR,16,16,115,67,862,12.9,10,47,50.4,50,4.2,53.9,58.3,7.5,2,,WallMi00
42,Doug Baldwin,26,SEA,WR,16,16,98,66,825,12.5,3,43,51.0,49,4.1,51.6,67.3,8.4,0,,BaldDo00
43,Fred Jackson,33,BUF,RB,14,9,90,66,501,7.6,1,26,46.7,34,4.7,35.8,73.3,5.6,5,,JackFr02
44,Heath Miller,32,PIT,TE,16,16,91,66,761,11.5,3,43,63.7,49,4.1,47.6,72.5,8.4,1,,MillHe00
45,Sammy Watkins,21,BUF,WR,16,16,128,65,982,15.1,6,48,46.9,84,4.1,61.4,50.8,7.7,1,,WatkSa00
46,Robert Woods,22,BUF,WR,16,15,104,65,699,10.8,5,35,47.1,37,4.1,43.7,62.5,6.7,1,,WoodRo02
47,Reggie Wayne,36,IND,WR,15,15,116,64,779,12.2,2,40,45.7,80,4.3,51.9,55.2,6.7,1,,WaynRe00
48,Jason Witten,32,DAL,TE,16,16,90,64,703,11.0,5,48,58.9,34,4.0,43.9,71.1,7.8,0,PB,WittJa00
49,Larry Donnell,26,NYG,TE,16,12,92,63,623,9.9,6,36,55.4,32,3.9,38.9,68.5,6.8,4,,DonnLa00
50,Larry Fitzgerald,31,ARI,WR,14,13,103,63,784,12.4,2,39,49.5,80,4.5,56.0,61.2,7.6,1,,FitzLa00
51,Andrew Hawkins,28,CLE,WR,15,15,112,63,824,13.1,2,44,46.4,65,4.2,54.9,56.3,7.4,0,,HawkAn00
52,Kenny Stills,22,NOR,WR,15,7,83,63,931,14.8,3,47,72.3,69,4.2,62.1,75.9,11.2,1,,StilKe00
53,Delanie Walker,30,TEN,TE,15,14,106,63,890,14.1,4,34,45.3,68,4.2,59.3,59.4,8.4,2,,WalkHu00
54,Jermaine Gresham,26,CIN,TE,15,15,79,62,460,7.4,5,24,53.2,23,4.1,30.7,78.5,5.8,3,,GresJe00
55,Eddie Royal,28,SDG,WR,16,11,91,62,778,12.5,7,39,52.7,47,3.9,48.6,68.1,8.5,1,,RoyaEd00
56,Brandon Marshall,30,CHI,WR,13,13,106,61,721,11.8,8,41,50.9,47,4.7,55.5,57.5,6.8,1,,MarsBr00
57,Dwayne Bowe,30,KAN,WR,15,15,95,60,754,12.6,0,42,56.8,37,4.0,50.3,63.2,7.9,2,,BoweDw00
58,Marques Colston,31,NOR,WR,16,13,100,59,902,15.3,5,45,58.0,57,3.7,56.4,59.0,9.0,1,,ColsMa00
59,Greg Jennings,31,MIN,WR,16,13,92,59,742,12.6,6,40,52.2,38,3.7,46.4,64.1,8.1,1,,JennGr00
60,Charles Clay,25,MIA,TE,14,14,84,58,605,10.4,3,31,50.0,41,4.1,43.2,69.0,7.2,0,,ClayCh00
61,Zach Ertz,24,PHI,TE,16,5,89,58,702,12.1,3,42,58.4,35,3.6,43.9,65.2,7.9,1,,ErtzZa00
62,Mychal Rivera,24,OAK,TE,16,10,99,58,534,9.2,4,29,45.5,33,3.6,33.4,58.6,5.4,3,,RiveMy00
63,DeMarco Murray,26,DAL,RB,16,16,64,57,416,7.3,0,17,54.7,34,3.6,26.0,89.1,6.5,5,PBAP-1AP MVP-3AP OPoY-1,MurrDe00
64,Kendall Wright,25,TEN,WR,14,11,93,57,715,12.5,6,32,44.1,48,4.1,51.1,61.3,7.7,1,,WrigKe01
65,DeSean Jackson,28,WAS,WR,15,13,95,56,1169,20.9,6,37,49.5,81,3.7,77.9,58.9,12.3,0,,JackDe00
66,Mohamed Sanu,25,CIN,WR,16,13,98,56,790,14.1,5,38,49.0,76,3.5,49.4,57.1,8.1,0,,SanuMo00
67,Riley Cooper,27,PHI,WR,16,16,95,55,577,10.5,3,25,47.4,50,3.4,36.1,57.9,6.1,1,,CoopRi00
68,Brandin Cooks,21,NOR,WR,10,7,69,53,550,10.4,3,25,58.0,50,5.3,55.0,76.8,8.0,1,,CookBr00
69,Cecil Shorts,27,JAX,WR,13,12,110,53,557,10.5,1,27,40.9,53,4.1,42.8,48.2,5.1,1,,ShorCe00
70,Markus Wheaton,23,PIT,WR,16,11,86,53,644,12.2,2,34,52.3,47,3.3,40.3,61.6,7.5,0,,WheaMa00
71,Jared Cook,27,STL,TE,16,6,99,52,634,12.2,3,32,45.5,59,3.3,39.6,52.5,6.4,0,,CookJa02
72,Malcom Floyd,33,SDG,WR,16,16,92,52,856,16.5,6,39,50.0,59,3.3,53.5,56.5,9.3,0,,FloyMa00
73,Shane Vereen,25,NWE,RB,16,6,77,52,447,8.6,3,24,41.6,49,3.3,27.9,67.5,5.8,0,,VereSh00
74,Harry Douglas,30,ATL,WR,12,6,74,51,556,10.9,2,29,55.4,41,4.3,46.3,68.9,7.5,0,,DougHa00
75,Coby Fleener,26,IND,TE,16,12,92,51,774,15.2,8,40,50.0,73,3.2,48.4,55.4,8.4,0,,FleeCo00
76,Allen Hurns,23,JAX,WR,16,8,97,51,677,13.3,6,26,38.1,63,3.2,42.3,52.6,7.0,0,,HurnAl01
77,Percy Harvin,26,2TM,WR,13,12,78,51,483,9.5,1,23,48.7,45,3.9,37.2,65.4,6.2,3,,HarvPe00
77,Percy Harvin,26,SEA,WR,5,4,26,22,133,6.0,0,8,57.7,33,4.4,26.6,84.6,5.1,2,,HarvPe00
77,Percy Harvin,26,NYJ,WR,8,8,52,29,350,12.1,1,15,44.2,45,3.6,43.8,55.8,6.7,1,,HarvPe00
78,Jordan Reed,24,WAS,TE,11,2,65,50,465,9.3,0,23,52.3,30,4.5,42.3,76.9,7.2,1,,ReedJo02
79,Torrey Smith,25,BAL,WR,16,16,92,49,767,15.7,11,38,45.7,53,3.1,47.9,53.3,8.3,0,,SmitTo02
80,Wes Welker,33,DEN,WR,14,8,64,49,464,9.5,2,24,56.3,39,3.5,33.1,76.6,7.3,0,,WelkWe00
81,Kenny Britt,26,STL,WR,16,13,84,48,748,15.6,3,33,50.0,63,3.0,46.8,57.1,8.9,0,,BritKe00
82,John Brown,24,ARI,WR,16,5,102,48,696,14.5,5,31,36.3,75,3.0,43.5,47.1,6.8,0,,BrowJo02
83,Jerricho Cotchery,32,CAR,WR,15,13,78,48,580,12.1,1,29,53.8,47,3.2,38.7,61.5,7.4,0,,CotcJe00
84,Owen Daniels,32,BAL,TE,15,13,79,48,527,11.0,4,32,54.4,39,3.2,35.1,60.8,6.7,0,,DaniOw00
85,Allen Robinson,21,JAX,WR,10,8,81,48,548,11.4,2,26,49.4,54,4.8,54.8,59.3,6.8,0,,RobiAl02
86,Miles Austin,30,CLE,WR,12,11,73,47,568,12.1,2,34,54.8,31,3.9,47.3,64.4,7.8,0,,AustMi00
87,Scott Chandler,29,BUF,TE,16,5,70,47,497,10.6,3,28,52.9,37,2.9,31.1,67.1,7.1,0,,ChanSc00
88,Michael Floyd,25,ARI,WR,16,14,99,47,841,17.9,6,34,39.4,63,2.9,52.6,47.5,8.5,3,,FloyMi00
89,Andre Holmes,26,OAK,WR,16,13,99,47,693,14.7,4,32,41.4,77,2.9,43.3,47.5,7.0,0,,HolmAn00
90,Andre Ellington,25,ARI,RB,12,12,64,46,395,8.6,2,19,40.6,81,3.8,32.9,71.9,6.2,2,,ElliAn00
91,Benny Cunningham,24,STL,RB,16,2,52,45,352,7.8,1,21,51.9,19,2.8,22.0,86.5,6.8,2,,CunnBe01
92,Pierre Thomas,30,NOR,RB,11,3,55,45,378,8.4,1,19,49.1,39,4.1,34.4,81.8,6.9,0,,ThomPi00
93,Matt Asiata,27,MIN,RB,15,9,63,44,312,7.1,1,7,38.1,41,2.9,20.8,69.8,5.0,1,,AsiaMa00
94,Justin Forsett,29,BAL,RB,16,14,59,44,263,6.0,0,10,39.0,26,2.8,16.4,74.6,4.5,1,PBAP CPoY-5,ForsJu00
95,Giovani Bernard,23,CIN,RB,13,9,59,43,349,8.1,2,14,37.3,46,3.3,26.8,72.9,5.9,0,,BernGi00
96,Julius Thomas,26,DEN,TE,13,10,62,43,489,11.4,12,30,59.7,35,3.3,37.6,69.4,7.9,1,PB,ThomJu00
97,Roy Helu,26,WAS,RB,14,0,47,42,477,11.4,2,16,46.8,55,3.0,34.1,89.4,10.1,2,,HeluRo00
98,Eddie Lacy,24,GNB,RB,16,16,55,42,427,10.2,4,18,52.7,67,2.6,26.7,76.4,7.8,3,,LacyEd00
99,Jarius Wright,25,MIN,WR,16,7,62,42,588,14.0,2,25,51.6,87,2.6,36.8,67.7,9.5,0,,WrigJa02
100,Chris Hogan,27,BUF,WR,16,2,61,41,426,10.4,4,20,42.6,31,2.6,26.6,67.2,7.0,2,,HogaCh00
101,Reggie Bush,29,DET,RB,11,9,56,40,253,6.3,0,13,39.3,28,3.6,23.0,71.4,4.5,0,,BushRe00
102,Jamaal Charles,28,KAN,RB,15,15,59,40,291,7.3,5,16,37.3,30,2.7,19.4,67.8,4.9,5,PB,CharJa00
103,Darren Sproles,31,PHI,RB,15,0,62,40,387,9.7,0,18,41.9,57,2.7,25.8,64.5,6.2,4,PBAP-2,SproDa00
104,Nate Washington,31,TEN,WR,16,11,72,40,647,16.2,2,26,52.8,80,2.5,40.4,55.6,9.0,0,,WashNa00
105,Brian Hartline,28,MIA,WR,16,16,63,39,474,12.2,2,27,54.0,35,2.4,29.6,61.9,7.5,1,,HartBr00
106,Niles Paul,25,WAS,TE,16,7,52,39,507,13.0,1,19,63.5,50,2.4,31.7,75.0,9.8,1,,PaulNi00
107,Davante Adams,22,GNB,WR,16,11,66,38,446,11.7,3,23,48.5,45,2.4,27.9,57.6,6.8,0,,AdamDa01
108,Jace Amaro,22,NYJ,TE,14,4,53,38,345,9.1,2,20,49.1,43,2.7,24.6,71.7,6.5,1,,AmarJa00
109,Ahmad Bradshaw,28,IND,RB,10,1,47,38,300,7.9,6,20,61.7,22,3.8,30.0,80.9,6.4,3,,BradAh00
110,Travaris Cadet,25,NOR,RB,15,1,51,38,296,7.8,1,15,51.0,31,2.5,19.7,74.5,5.8,2,,CadeTr00
111,Arian Foster,28,HOU,RB,13,13,59,38,327,8.6,5,15,35.6,56,2.9,25.2,64.4,5.5,2,PBAP CPoY-5,FostAr00
112,Devin Hester,32,ATL,WR,16,1,59,38,504,13.3,2,22,49.2,46,2.4,31.5,64.4,8.5,2,PB,HestDe99
113,Jermaine Kearse,24,SEA,WR,15,14,69,38,537,14.1,1,21,42.0,60,2.5,35.8,55.1,7.8,0,,KearJe01
114,Jeremy Kerley,26,NYJ,WR,16,7,75,38,409,10.8,1,21,41.3,33,2.4,25.6,50.7,5.5,1,,KerlJe00
115,Lamar Miller,23,MIA,RB,16,16,52,38,275,7.2,1,10,46.2,20,2.4,17.2,73.1,5.3,3,,MillLa01
116,Hakeem Nicks,26,IND,WR,16,6,68,38,405,10.7,4,18,41.2,29,2.4,25.3,55.9,6.0,0,,NickHa01
117,Cole Beasley,25,DAL,WR,16,2,49,37,420,11.4,4,26,67.3,45,2.3,26.3,75.5,8.6,2,,BeasCo00
118,Marqise Lee,23,JAX,WR,13,8,69,37,422,11.4,1,21,44.9,37,2.8,32.5,53.6,6.1,0,,LeexMa00
119,Marshawn Lynch,28,SEA,RB,16,14,48,37,367,9.9,4,16,45.8,39,2.3,22.9,77.1,7.6,3,PBAP-2,LyncMa00
120,Marcel Reece,29,OAK,RB,15,15,59,37,265,7.2,1,12,42.4,19,2.5,17.7,62.7,4.5,1,PB,ReecMa00
121,Terrance Williams,25,DAL,WR,16,16,66,37,621,16.8,8,30,53.0,51,2.3,38.8,56.1,9.4,0,,WillTe01
122,Taylor Gabriel,23,CLE,WR,16,2,72,36,621,17.3,1,26,40.3,70,2.3,38.8,50.0,8.6,0,,GabrTa00
123,Darren McFadden,27,OAK,RB,16,12,56,36,212,5.9,0,8,33.9,23,2.3,13.3,64.3,3.8,1,,McFaDa00
124,Branden Oliver,23,SDG,RB,14,7,45,36,271,7.5,1,11,46.7,50,2.6,19.4,80.0,6.0,0,,OlivBr01
125,Preston Parker,27,NYG,WR,16,7,56,36,418,11.6,2,26,53.6,42,2.3,26.1,64.3,7.5,2,,ParkPr00
126,Andre Roberts,26,WAS,WR,16,4,73,36,453,12.6,2,28,45.2,61,2.3,28.3,49.3,6.2,4,,RobeAn00
127,Stevie Johnson,28,SFO,WR,13,1,50,35,435,12.4,3,24,62.0,32,2.7,33.5,70.0,8.7,0,,JohnSt00
128,C.J. Anderson,23,DEN,RB,15,7,44,34,324,9.5,2,14,54.5,51,2.3,21.6,77.3,7.4,1,PB,AndeC.00
129,Joique Bell,28,DET,RB,15,6,53,34,322,9.5,1,14,43.4,28,2.3,21.5,64.2,6.1,5,,BellJo01
130,Theo Riddick,23,DET,RB,14,2,50,34,316,9.3,4,14,42.0,41,2.4,22.6,68.0,6.3,0,,RiddTh00
131,Jason Avant,31,2TM,WR,16,0,62,34,353,10.4,1,20,45.2,41,2.1,22.1,54.8,5.7,0,,AvanJa00
131,Jason Avant,31,CAR,WR,11,0,40,21,201,9.6,1,11,40.0,22,1.9,18.3,52.5,5.0,0,,AvanJa00
131,Jason Avant,31,KAN,WR,5,0,22,13,152,11.7,0,9,54.5,41,2.6,30.4,59.1,6.9,0,,AvanJa00
132,John Carlson,30,ARI,RB,16,12,55,33,350,10.6,1,17,41.8,32,2.1,21.9,60.0,6.4,0,,CarlJo00
133,Cordarrelle Patterson,23,MIN,WR,16,7,67,33,384,11.6,1,20,41.8,28,2.1,24.0,49.3,5.7,1,,PattCo00
134,Bobby Rainey,27,TAM,RB,15,5,45,33,315,9.5,1,13,46.7,34,2.2,21.0,73.3,7.0,3,,RainBo00
135,Brent Celek,29,PHI,TE,16,15,51,32,340,10.6,1,16,51.0,37,2.0,21.3,62.7,6.7,1,,CeleBr00
136,Donte Moncrief,21,IND,WR,16,2,49,32,444,13.9,3,15,44.9,79,2.0,27.8,65.3,9.1,0,,MoncDo00
137,Tavon Austin,24,STL,WR,15,8,44,31,242,7.8,0,12,50.0,28,2.1,16.1,70.5,5.5,5,,AustTa00
138,Charles Johnson,25,MIN,WR,12,6,59,31,475,15.3,2,19,47.5,56,2.6,39.6,52.5,8.1,1,,JohnCh08
139,Damaris Johnson,25,HOU,WR,16,8,49,31,331,10.7,1,15,40.8,44,1.9,20.7,63.3,6.8,2,,JohnDa04
140,Louis Murphy,27,TAM,WR,11,3,56,31,380,12.3,2,14,48.2,54,2.8,34.5,55.4,6.8,1,,MurpLo00
141,Levine Toilolo,23,ATL,TE,16,16,54,31,238,7.7,2,15,40.7,20,1.9,14.9,57.4,4.4,1,,ToilLe00
142,Stedman Bailey,24,STL,WR,14,3,46,30,435,14.5,1,19,63.0,38,2.1,31.1,65.2,9.5,0,,BailSt01
143,Devonta Freeman,22,ATL,RB,16,0,37,30,225,7.5,1,8,45.9,36,1.9,14.1,81.1,6.1,1,,FreeDe00
144,Rashad Jennings,29,NYG,RB,11,9,41,30,226,7.5,0,8,34.1,27,2.7,20.5,73.2,5.5,1,,JennRa00
145,Dwayne Allen,24,IND,TE,13,13,50,29,395,13.6,8,24,52.0,41,2.2,30.4,58.0,7.9,1,,AlleDw00
146,Donald Brown,27,SDG,RB,13,3,41,29,211,7.3,0,7,34.1,24,2.2,16.2,70.7,5.1,1,,BrowDo00
147,Brandon Gibson,27,MIA,WR,14,5,51,29,295,10.2,1,14,43.1,40,2.1,21.1,56.9,5.8,2,,GibsBr00
148,Mark Ingram,25,NOR,RB,13,9,36,29,145,5.0,0,5,38.9,14,2.2,11.2,80.6,4.0,3,PB,IngrMa01
149,Andrew Quarless,26,GNB,TE,16,11,46,29,323,11.1,3,20,58.7,34,1.8,20.2,63.0,7.0,0,,QuarAn00
150,Paul Richardson,22,SEA,WR,15,6,44,29,271,9.3,1,16,50.0,32,1.9,18.1,65.9,6.2,1,,RichPa01
151,Jacquizz Rodgers,24,ATL,RB,16,1,40,29,173,6.0,1,9,40.0,14,1.8,10.8,72.5,4.3,1,,RodgJa00
152,Justin Hunter,23,TEN,WR,12,8,67,28,498,17.8,3,20,37.3,75,2.3,41.5,41.8,7.4,0,,HuntJu00
153,LeSean McCoy,26,PHI,RB,16,16,37,28,155,5.5,0,10,43.2,18,1.8,9.7,75.7,4.2,4,PB,McCoLe01
154,Danny Amendola,29,NWE,WR,16,4,42,27,200,7.4,1,12,42.9,21,1.7,12.5,64.3,4.8,0,,AmenDa00
155,Jeremy Hill,22,CIN,RB,16,8,32,27,215,8.0,0,7,46.9,38,1.7,13.4,84.4,6.7,5,,HillJe01
156,Lance Kendricks,26,STL,TE,16,14,38,27,259,9.6,5,17,63.2,23,1.7,16.2,71.1,6.8,0,,KendLa00
157,Jerick McKinnon,22,MIN,RB,11,6,41,27,135,5.0,0,7,24.4,17,2.5,12.3,65.9,3.3,0,,McKiJe00
158,Trent Richardson,24,IND,RB,15,12,34,27,229,8.5,0,9,50.0,24,1.8,15.3,79.4,6.7,2,,RichTr00
159,Martavis Bryant,23,PIT,WR,10,3,48,26,549,21.1,8,16,45.8,94,2.6,54.9,54.2,11.4,0,,BryaMa00
160,Vernon Davis,30,SFO,TE,14,14,50,26,245,9.4,2,11,36.0,29,1.9,17.5,52.0,4.9,0,,DaviVe00
161,Clay Harbor,27,JAX,TE,13,8,35,26,289,11.1,1,12,42.9,59,2.0,22.2,74.3,8.3,0,,HarbCl00
162,Dexter McCluster,25,TEN,WR,14,2,36,26,197,7.6,1,10,44.4,25,1.9,14.1,72.2,5.5,1,,McClDe00
163,Tim Wright,24,NWE,TE,16,2,33,26,259,10.0,6,18,66.7,30,1.6,16.2,78.8,7.8,0,,WrigTi01
164,Eric Ebron,21,DET,TE,13,7,47,25,248,9.9,1,14,44.7,22,1.9,19.1,53.2,5.3,0,,EbroEr00
165,Anthony Fasano,30,KAN,TE,15,13,36,25,226,9.0,4,15,52.8,22,1.7,15.1,69.4,6.3,0,,FasaAn00
166,Brian Quick,25,STL,WR,7,7,39,25,375,15.0,3,20,59.0,51,3.6,53.6,64.1,9.6,0,,QuicBr00
167,Jonathan Stewart,27,CAR,RB,13,8,31,25,181,7.2,1,7,51.6,22,1.9,13.9,80.6,5.8,2,,StewJo00
168,Jordan Todman,24,JAX,RB,16,1,37,25,198,7.9,1,6,24.3,26,1.6,12.4,67.6,5.4,0,,TodmJo00
169,Kamar Aiken,25,BAL,WR,16,0,32,24,267,11.1,3,15,68.8,24,1.5,16.7,75.0,8.3,0,,AikeKa00
170,Marlon Brown,23,BAL,WR,14,1,31,24,255,10.6,0,16,58.1,22,1.7,18.2,77.4,8.2,0,,BrowMa00
171,Jordan Cameron,26,CLE,TE,10,9,48,24,424,17.7,2,13,31.3,81,2.4,42.4,50.0,8.8,0,,CameJo00
172,Josh Gordon,23,CLE,WR,5,5,47,24,303,12.6,0,16,40.4,32,4.8,60.6,51.1,6.4,0,,GordJo02
173,Chris Johnson,29,NYJ,RB,16,6,34,24,151,6.3,1,9,38.2,26,1.5,9.4,70.6,4.4,1,,JohnCh04
174,Jeremy Ross,26,DET,WR,16,13,35,24,314,13.1,1,15,51.4,59,1.5,19.6,68.6,9.0,4,,RossJe01
175,Kyle Rudolph,25,MIN,TE,9,8,34,24,231,9.6,2,13,64.7,23,2.7,25.7,70.6,6.8,1,,RudoKy00
176,Dion Sims,23,MIA,TE,14,2,36,24,284,11.8,2,13,58.3,38,1.7,20.3,66.7,7.9,0,,SimsDi00
177,Victor Cruz,28,NYG,WR,6,6,41,23,337,14.7,1,13,43.9,61,3.8,56.2,56.1,8.2,0,,CruzVi00
178,Jeff Cumberland,27,NYJ,TE,16,14,47,23,247,10.7,3,12,36.2,28,1.4,15.4,48.9,5.3,0,,CumbJe00
179,Chase Ford,24,MIN,TE,11,5,35,23,258,11.2,1,15,57.1,22,2.1,23.5,65.7,7.4,0,,FordCh00
180,Denard Robinson,24,JAX,RB,13,9,31,23,124,5.4,0,7,32.3,19,1.8,9.5,74.2,4.0,2,,RobiDe00
181,De'Anthony Thomas,21,KAN,RB,12,3,31,23,156,6.8,0,8,38.7,30,1.9,13.0,74.2,5.0,0,,ThomDe05
182,Jaron Brown,24,ARI,WR,16,2,32,22,229,10.4,2,14,53.1,26,1.4,14.3,68.8,7.2,1,,BrowJa03
183,Brandon Myers,29,TAM,TE,14,6,32,22,190,8.6,0,8,43.8,26,1.6,13.6,68.8,5.9,0,,MyerBr00
184,Leon Washington,32,TEN,RB,16,0,31,22,159,7.2,2,8,32.3,25,1.4,9.9,71.0,5.1,3,,WashLe00
185,Luke Willson,24,SEA,TE,15,10,40,22,362,16.5,3,14,40.0,80,1.5,24.1,55.0,9.1,0,,WillLu00
186,Corey Brown,23,CAR,WR,13,3,36,21,296,14.1,2,12,50.0,47,1.6,22.8,58.3,8.2,3,,BrowPh00
187,Brice Butler,24,OAK,WR,15,0,35,21,280,13.3,2,14,51.4,55,1.4,18.7,60.0,8.0,0,,ButlBr00
188,Dan Herron,25,IND,RB,16,3,26,21,173,8.2,0,7,50.0,26,1.3,10.8,80.8,6.7,2,,HerrDa00
189,Ronnie Hillman,23,DEN,RB,8,4,34,21,139,6.6,1,7,32.4,16,2.6,17.4,61.8,4.1,1,,HillRo00
190,Austin Seferian-Jenkins,22,TAM,TE,9,9,38,21,221,10.5,2,12,50.0,30,2.3,24.6,55.3,5.8,1,,SefeAu00
191,Damien Williams,22,MIA,RB,16,0,27,21,187,8.9,1,13,63.0,32,1.3,11.7,77.8,6.9,0,,WillDa05
192,Kenbrell Thompkins,26,2TM,WR,14,7,48,21,262,12.5,0,13,33.3,50,1.5,18.7,43.8,5.5,0,,ThomKe02
