,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Antonio Brown,26,PIT,WR,16,16,181,129,1698,13.2,13,87,60.2,63,8.1,106.1,71.3,9.4,2,PBAP-1AP OPoY-3,BrowAn04
2,Demaryius Thomas,27,DEN,WR,16,16,184,111,1619,14.6,11,69,50.5,86,6.9,101.2,60.3,8.8,0,PBAP-2,ThomDe03
3,Julio Jones,25,ATL,WR,15,15,163,104,1593,15.3,6,76,55.8,79,6.9,106.2,63.8,9.8,2,PB,JoneJu02
4,Matt Forte,29,CHI,RB,16,16,130,102,808,7.9,4,28,46.2,56,6.4,50.5,78.5,6.2,2,,FortMa00
5,Emmanuel Sanders,27,DEN,WR,16,16,141,101,1404,13.9,9,69,63.8,48,6.3,87.8,71.6,10.0,1,PB,SandEm00
6,Golden Tate,26,DET,WR,16,16,144,99,1331,13.4,4,61,54.2,73,6.2,83.2,68.8,9.2,1,PB,TateGo00
7,Jordy Nelson,29,GNB,WR,16,16,151,98,1519,15.5,13,71,58.9,80,6.1,94.9,64.9,10.1,0,PBAP-2,NelsJo00
8,Julian Edelman,28,NWE,WR,14,13,134,92,972,10.6,4,50,55.2,69,6.6,69.4,68.7,7.3,3,,EdelJu00
9,Odell Beckham Jr.,22,NYG,WR,12,11,130,91,1305,14.3,12,58,60.8,80,7.6,108.8,70.0,10.0,1,PBAP ORoY-1,BeckOd00
10,Randall Cobb,24,GNB,WR,16,16,127,91,1287,14.1,12,71,63.0,70,5.7,80.4,71.7,10.1,3,PB,CobbRa00
11,Martellus Bennett,27,CHI,TE,16,15,128,90,916,10.2,6,43,51.6,37,5.6,57.3,70.3,7.2,0,PB,BennMa00
12,Dez Bryant,26,DAL,WR,16,16,136,88,1320,15.0,16,60,55.1,68,5.5,82.5,64.7,9.7,0,PBAP-1,BryaDe01
13,Jimmy Graham,28,NOR,TE,16,13,125,85,889,10.5,10,54,62.4,29,5.3,55.6,68.0,7.1,2,PB,GrahJi00
14,Alshon Jeffery,24,CHI,WR,16,16,145,85,1133,13.3,10,60,51.0,74,5.3,70.8,58.6,7.8,1,,JeffAl00
15,Andre Johnson,33,HOU,WR,15,15,146,85,936,11.0,3,50,47.3,35,5.7,62.4,58.2,6.4,3,,JohnAn02
16,Jeremy Maclin,26,PHI,WR,16,16,143,85,1318,15.5,10,56,52.4,72,5.3,82.4,59.4,9.2,0,AP CPoY-2,MaclJe00
