Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
,,,,,,,,,,,,,,,,,,,,,-9999
1,Calvin Johnson,27,DET,WR,16,16,204,122,1964,16.1,5,92,55.4,53,7.6,122.8,59.8,9.6,3,PBAP-1AP OPoY-3,JohnCa00
2,Brandon Marshall,28,CHI,WR,16,16,192,118,1508,12.8,11,74,47.9,56,7.4,94.3,61.5,7.9,2,PBAP-1,MarsBr00
3,Wes Welker,31,NWE,WR,16,12,174,118,1354,11.5,6,71,56.9,59,7.4,84.6,67.8,7.8,3,PB,WelkWe00
4,Andre Johnson,31,HOU,WR,16,16,162,112,1598,14.3,4,79,61.1,60,7.0,99.9,69.1,9.9,0,PBAP-2,JohnAn02
5,Jason Witten,30,DAL,TE,16,16,147,110,1039,9.4,3,56,65.3,36,6.9,64.9,74.8,7.1,0,PBAP-2,WittJa00
6,Reggie Wayne,34,IND,WR,16,15,195,106,1355,12.8,5,73,49.2,33,6.6,84.7,54.4,6.9,1,PB,WaynRe00
7,A.J. Green,24,CIN,WR,16,16,164,97,1350,13.9,11,61,51.8,73,6.1,84.4,59.1,8.2,2,PBAP-2,GreeA.00
8,Demaryius Thomas,25,DEN,WR,16,16,143,94,1434,15.3,10,60,54.5,71,5.9,89.6,65.7,10.0,3,PB,ThomDe03
9,Tony Gonzalez,36,ATL,TE,16,16,124,93,930,10.0,8,65,68.5,25,5.8,58.1,75.0,7.5,0,PBAP-1,GonzTo00
10,Dez Bryant,24,DAL,WR,16,14,138,92,1382,15.0,12,54,57.2,85,5.8,86.4,66.7,10.0,5,,BryaDe01
11,Roddy White,31,ATL,WR,16,15,142,92,1351,14.7,7,73,58.5,59,5.8,84.4,64.8,9.5,1,,WhitRo00
12,Victor Cruz,26,NYG,WR,16,16,143,86,1092,12.7,10,52,50.3,80,5.4,68.3,60.1,7.6,0,PB,CruzVi00
13,Michael Crabtree,25,SFO,WR,16,16,127,85,1105,13.0,9,57,57.5,49,5.3,69.1,66.9,8.7,0,,CrabMi00
14,Eric Decker,25,DEN,WR,16,15,122,85,1064,12.5,13,53,60.7,55,5.3,66.5,69.7,8.7,0,,DeckEr00
15,Jimmy Graham,26,NOR,TE,15,9,135,85,982,11.6,9,59,54.8,46,5.7,65.5,63.0,7.3,1,,GrahJi00
16,Marques Colston,29,NOR,WR,16,13,130,83,1154,13.9,10,64,62.3,60,5.2,72.1,63.8,8.9,4,,ColsMa00
17,Randall Cobb,22,GNB,WR,15,8,104,80,954,11.9,8,47,59.6,39,5.3,63.6,76.9,9.2,4,,CobbRa00
18,Stevie Johnson,26,BUF,WR,16,16,148,79,1046,13.2,6,52,47.3,63,4.9,65.4,53.4,7.1,1,,JohnSt00
19,Julio Jones,23,ATL,WR,16,15,128,79,1198,15.2,10,56,54.7,80,4.9,74.9,61.7,9.4,0,PB,JoneJu02
20,Brandon Myers,27,OAK,TE,16,16,105,79,806,10.2,4,42,57.1,29,4.9,50.4,75.2,7.7,0,,MyerBr00
21,Darren Sproles,29,NOR,RB,13,6,104,75,667,8.9,7,30,47.1,44,5.8,51.3,72.1,6.4,0,,SproDa00
22,Brian Hartline,26,MIA,WR,16,15,131,74,1083,14.6,1,49,51.9,80,4.6,67.7,56.5,8.3,1,,HartBr00
23,Brandon Lloyd,31,NWE,WR,16,15,131,74,911,12.3,4,50,51.1,53,4.6,56.9,56.5,7.0,0,,LloyBr00
24,Steve Smith Sr.,33,CAR,WR,16,16,137,73,1174,16.1,4,52,46.0,66,4.6,73.4,53.3,8.6,1,,SmitSt01
25,Vincent Jackson,29,TAM,WR,16,16,147,72,1384,19.2,8,61,48.3,95,4.5,86.5,49.0,9.4,0,PB,JackVi00
26,Larry Fitzgerald,29,ARI,WR,16,16,156,71,798,11.2,4,45,34.6,37,4.4,49.9,45.5,5.1,0,PB,FitzLa00
27,Heath Miller,30,PIT,TE,15,15,101,71,816,11.5,8,44,58.4,43,4.7,54.4,70.3,8.1,0,PB,MillHe00
28,Jeremy Maclin,24,PHI,WR,15,15,122,69,857,12.4,7,37,42.6,70,4.6,57.1,56.6,7.0,1,,MaclJe00
29,Greg Olsen,27,CAR,TE,16,16,104,69,843,12.2,5,44,54.8,47,4.3,52.7,66.3,8.1,0,,OlseGr00
30,Miles Austin,28,DAL,WR,16,15,119,66,943,14.3,6,49,50.4,49,4.1,58.9,55.5,7.9,1,,AustMi00
31,Antonio Brown,24,PIT,WR,13,10,106,66,787,11.9,5,43,51.9,60,5.1,60.5,62.3,7.4,4,,BrowAn04
32,Anquan Boldin,32,BAL,WR,15,15,112,65,921,14.2,4,45,50.9,43,4.3,61.4,58.0,8.2,0,,BoldAn00
33,Lance Moore,29,NOR,WR,15,7,104,65,1041,16.0,6,55,59.6,51,4.3,69.4,62.5,10.0,0,,MoorLa00
34,Justin Blackmon,22,JAX,WR,16,14,132,64,865,13.5,5,41,43.9,81,4.0,54.1,48.5,6.6,1,,BlacJu00
35,Jermaine Gresham,24,CIN,TE,16,15,94,64,737,11.5,5,33,51.1,55,4.0,46.1,68.1,7.8,2,PB,GresJe00
36,James Jones,28,GNB,WR,16,16,98,64,784,12.3,14,45,57.1,49,4.0,49.0,65.3,8.0,0,,JoneJa04
37,Andre Roberts,24,ARI,WR,15,15,114,64,759,11.9,5,40,46.5,46,4.3,50.6,56.1,6.7,1,,RobeAn00
38,Mike Wallace,26,PIT,WR,15,14,119,64,836,13.1,8,33,42.9,82,4.3,55.7,53.8,7.0,2,,WallMi00
39,Kendall Wright,23,TEN,WR,15,5,104,64,626,9.8,4,38,49.0,38,4.3,41.7,61.5,6.0,1,,WrigKe01
40,Danny Amendola,27,STL,WR,11,8,101,63,666,10.6,3,39,50.5,56,5.7,60.5,62.4,6.6,3,,AmenDa00
41,Mike Williams,25,TAM,WR,16,16,126,63,996,15.8,9,44,43.7,65,3.9,62.3,50.0,7.9,0,,WillMi04
42,Owen Daniels,30,HOU,TE,15,14,104,62,716,11.5,6,38,47.1,39,4.1,47.7,59.6,6.9,0,PB,DaniOw00
43,Percy Harvin,24,MIN,WR,9,8,85,62,677,10.9,3,37,61.2,45,6.9,75.2,72.9,8.0,2,,HarvPe00
44,Davone Bess,27,MIA,WR,13,13,104,61,778,12.8,1,38,45.2,39,4.7,59.8,58.7,7.5,1,,BessDa00
45,Jermichael Finley,25,GNB,TE,16,14,87,61,667,10.9,2,31,52.9,40,3.8,41.7,70.1,7.7,1,,FinlJe00
46,Dennis Pitta,27,BAL,TE,16,5,94,61,669,11.0,7,29,47.9,61,3.8,41.8,64.9,7.1,0,,PittDe00
47,Ray Rice,25,BAL,RB,16,16,83,61,478,7.8,1,24,42.2,43,3.8,29.9,73.5,5.8,1,PB,RiceRa00
48,Donnie Avery,28,IND,WR,16,15,124,60,781,13.0,3,37,40.3,48,3.8,48.8,48.4,6.3,1,,AverDo00
49,Dwayne Bowe,28,KAN,WR,13,12,114,59,801,13.6,3,44,49.1,47,4.5,61.6,51.8,7.0,1,,BoweDw00
50,Brandon Pettigrew,27,DET,TE,14,11,102,59,567,9.6,3,33,47.1,24,4.2,40.5,57.8,5.6,4,,PettBr00
51,Brent Celek,27,PHI,TE,15,14,88,57,684,12.0,1,34,46.6,34,3.8,45.6,64.8,7.8,1,,CeleBr00
52,Malcom Floyd,31,SDG,WR,14,14,85,56,814,14.5,5,47,61.2,39,4.0,58.1,65.9,9.6,0,,FloyMa00
53,Jeremy Kerley,24,NYJ,WR,16,7,95,56,827,14.8,2,31,49.5,66,3.5,51.7,58.9,8.7,4,,KerlJe00
54,Martellus Bennett,25,NYG,TE,16,16,89,55,626,11.4,5,35,52.8,33,3.4,39.1,61.8,7.0,0,,BennMa00
55,Rob Gronkowski,23,NWE,TE,11,11,79,55,790,14.4,11,45,68.4,41,5.0,71.8,69.6,10.0,1,PB,GronRo00
56,Cecil Shorts,25,JAX,WR,14,9,105,55,979,17.8,7,37,44.8,80,3.9,69.9,52.4,9.3,1,,ShorCe00
57,LeSean McCoy,24,PHI,RB,12,12,67,54,373,6.9,3,20,46.3,36,4.5,31.1,80.6,5.6,4,,McCoLe01
58,Jason Avant,29,PHI,WR,14,6,76,53,648,12.2,0,31,56.6,39,3.8,46.3,69.7,8.5,1,,AvanJa00
