,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Wes Welker,30,NWE,WR,16,15,173,122,1569,12.9,9,77,65.9,99,7.6,98.1,70.5,9.1,1,PBAP-1,WelkWe00
2,Roddy White,30,ATL,WR,16,16,180,100,1296,13.0,8,77,50.0,43,6.3,81.0,55.6,7.2,0,PB,WhitRo00
3,Jimmy Graham,25,NOR,TE,16,11,149,99,1310,13.2,11,74,59.1,59,6.2,81.9,66.4,8.8,1,PBAP-2,GrahJi00
4,Calvin Johnson,26,DET,WR,16,16,158,96,1681,17.5,16,76,57.0,73,6.0,105.1,60.8,10.6,1,PBAP-1,JohnCa00
5,Rob Gronkowski,22,NWE,TE,16,16,124,90,1327,14.7,17,69,66.9,52,5.6,82.9,72.6,10.7,0,PBAP-1,GronRo00
6,Percy Harvin,23,MIN,WR,16,14,121,87,967,11.1,6,47,50.4,52,5.4,60.4,71.9,8.0,2,,HarvPe00
7,Darren Sproles,28,NOR,RB,16,4,111,86,710,8.3,7,35,51.4,39,5.4,44.4,77.5,6.4,0,,SproDa00
8,Brandon Pettigrew,26,DET,TE,16,16,126,83,777,9.4,5,38,54.8,27,5.2,48.6,65.9,6.2,0,,PettBr00
9,Victor Cruz,25,NYG,WR,16,7,131,82,1536,18.7,9,59,56.5,99,5.1,96.0,62.6,11.7,1,AP-2,CruzVi00
10,Dwayne Bowe,27,KAN,WR,16,14,142,81,1159,14.3,5,56,50.0,52,5.1,72.4,57.0,8.2,1,,BoweDw00
11,Brandon Marshall,27,MIA,WR,16,16,141,81,1214,15.0,6,53,49.6,65,5.1,75.9,57.4,8.6,1,PB,MarsBr00
12,Marques Colston,28,NOR,WR,14,7,107,80,1143,14.3,8,56,70.1,50,5.7,81.6,74.8,10.7,1,,ColsMa00
13,Larry Fitzgerald,28,ARI,WR,16,16,154,80,1411,17.6,8,60,48.1,73,5.0,88.2,51.9,9.2,0,PBAP-2,FitzLa00
14,Tony Gonzalez,35,ATL,TE,16,16,116,80,875,10.9,7,53,62.1,30,5.0,54.7,69.0,7.5,0,PB,GonzTo00
15,Aaron Hernandez,22,NWE,TE,14,12,113,79,910,11.5,7,47,61.1,46,5.6,65.0,69.9,8.1,1,,HernAa00
16,Steve Smith Sr.,32,CAR,WR,16,16,129,79,1394,17.6,7,53,51.2,77,4.9,87.1,61.2,10.8,3,PBAP CPoY-4,SmitSt01
17,Jason Witten,29,DAL,TE,16,16,117,79,942,11.9,5,47,51.3,64,4.9,58.9,67.5,8.1,1,,WittJa00
18,Stevie Johnson,25,BUF,WR,16,16,134,76,1004,13.2,7,44,45.5,55,4.8,62.8,56.7,7.5,0,,JohnSt00
19,Hakeem Nicks,23,NYG,WR,15,15,133,76,1192,15.7,7,54,52.6,68,5.1,79.5,57.1,9.0,0,,NickHa01
20,Ray Rice,24,BAL,RB,16,16,104,76,704,9.3,3,30,46.2,52,4.8,44.0,73.1,6.8,2,PBAP-2,RiceRa00
21,Reggie Wayne,33,IND,WR,16,16,132,75,960,12.8,4,50,50.8,56,4.7,60.0,56.8,7.3,0,,WaynRe00
22,Kellen Winslow,28,TAM,TE,16,15,123,75,763,10.2,2,40,50.4,37,4.7,47.7,61.0,6.2,2,,WinsKe01
23,Nate Washington,28,TEN,WR,16,15,121,74,1023,13.8,7,47,49.6,57,4.6,63.9,61.2,8.5,0,,WashNa00
24,Nate Burleson,30,DET,WR,16,11,110,73,757,10.4,3,36,53.6,47,4.6,47.3,66.4,6.9,1,,BurlNa00
25,Michael Crabtree,24,SFO,WR,15,14,115,72,874,12.1,4,40,50.4,52,4.8,58.3,62.6,7.6,0,,CrabMi00
26,Mike Wallace,25,PIT,WR,16,14,114,72,1193,16.6,8,53,57.9,95,4.5,74.6,63.2,10.5,1,PB,WallMi00
27,Pierre Garcon,25,IND,WR,16,16,134,70,947,13.5,6,42,38.8,87,4.4,59.2,52.2,7.1,2,,GarcPi00
28,Brandon Lloyd,30,2TM,WR,15,14,148,70,966,13.8,5,48,41.9,44,4.7,64.4,47.3,6.5,1,,LloyBr00
28,Brandon Lloyd,30,DEN,WR,4,4,31,19,283,14.9,0,15,48.4,44,4.8,70.8,61.3,9.1,1,,LloyBr00
28,Brandon Lloyd,30,STL,WR,11,10,117,51,683,13.4,5,33,40.2,37,4.6,62.1,43.6,5.8,0,,LloyBr00
29,Antonio Brown,23,PIT,WR,16,3,124,69,1108,16.1,2,57,49.2,79,4.3,69.3,55.6,8.9,0,PB,BrowAn04
30,Jabar Gaffney,31,WAS,WR,16,15,114,68,947,13.9,5,50,51.8,45,4.3,59.2,59.6,8.3,1,,GaffJa00
31,Jordy Nelson,26,GNB,WR,16,9,96,68,1263,18.6,15,47,66.7,93,4.3,78.9,70.8,13.2,0,,NelsJo00
32,Vernon Davis,27,SFO,TE,16,16,95,67,792,11.8,6,33,48.4,44,4.2,49.5,70.5,8.3,3,,DaviVe00
33,Greg Jennings,28,GNB,WR,13,13,101,67,949,14.2,9,43,56.4,79,5.2,73.0,66.3,9.4,0,PB,JennGr00
34,A.J. Green,23,CIN,WR,15,15,115,65,1057,16.3,7,40,46.1,58,4.3,70.5,56.5,9.2,1,PB,GreeA.00
35,Dustin Keller,27,NYJ,TE,16,12,115,65,815,12.5,5,39,46.1,41,4.1,50.9,56.5,7.1,1,,KellDu00
36,Mike Williams,24,TAM,WR,16,15,124,65,771,11.9,3,42,44.4,42,4.1,48.2,52.4,6.2,2,,WillMi04
37,Antonio Gates,31,SDG,TE,13,13,88,64,778,12.2,7,45,68.2,38,4.9,59.8,72.7,8.8,0,PB,GateAn00
38,Darrius Heyward-Bey,24,OAK,WR,15,14,115,64,975,15.2,4,44,51.3,58,4.3,65.0,55.7,8.5,1,,HeywDa00
39,Dez Bryant,23,DAL,WR,15,13,103,63,928,14.7,9,48,54.4,50,4.2,61.9,61.2,9.0,3,,BryaDe01
40,Jeremy Maclin,23,PHI,WR,13,13,96,63,859,13.6,5,43,56.3,59,4.8,66.1,65.6,8.9,1,,MaclJe00
41,Brent Celek,26,PHI,TE,16,16,98,62,811,13.1,5,35,51.0,73,3.9,50.7,63.3,8.3,0,,CeleBr00
42,Steve Breaston,28,KAN,WR,16,13,98,61,785,12.9,2,39,44.9,43,3.8,49.1,62.2,8.0,0,,BreaSt00
43,Greg Little,22,CLE,WR,16,12,119,61,709,11.6,2,34,42.9,76,3.8,44.3,51.3,6.0,0,,LittGr00
44,David Nelson,25,BUF,TE,16,13,97,61,658,10.8,5,32,49.5,35,3.8,41.1,62.9,6.8,0,,NelsDa01
45,Vincent Jackson,28,SDG,WR,16,16,115,60,1106,18.4,9,54,47.8,58,3.8,69.1,52.2,9.6,0,PB,JackVi00
46,Fred Davis,25,WAS,TE,12,12,88,59,796,13.5,3,39,58.0,42,4.9,66.3,67.0,9.0,1,,DaviFr01
47,DeSean Jackson,25,PHI,WR,15,15,104,58,961,16.6,4,39,49.0,62,3.9,64.1,55.8,9.2,1,,JackDe00
48,Anquan Boldin,31,BAL,WR,14,14,106,57,887,15.6,3,43,48.1,56,4.1,63.4,53.8,8.4,0,,BoldAn00
49,Chris Johnson,26,TEN,RB,16,16,79,57,418,7.3,0,14,36.7,34,3.6,26.1,72.2,5.3,3,,JohnCh04
50,Jermaine Gresham,23,CIN,TE,14,13,92,56,596,10.6,6,29,44.6,31,4.0,42.6,60.9,6.5,1,PB,GresJe00
51,Jermichael Finley,24,GNB,TE,16,13,92,55,767,13.9,8,45,53.3,41,3.4,47.9,59.8,8.3,0,,FinlJe00
52,Austin Collie,26,IND,WR,16,5,96,54,514,9.5,1,35,45.8,27,3.4,32.1,56.3,5.4,0,,CollAu00
53,Owen Daniels,29,HOU,TE,15,15,85,54,677,12.5,3,41,55.3,34,3.6,45.1,63.5,8.0,0,,DaniOw00
54,Ed Dickson,24,BAL,TE,16,16,89,54,528,9.8,5,30,49.4,25,3.4,33.0,60.7,5.9,0,,DickEd00
55,Early Doucet,26,ARI,WR,16,6,97,54,689,12.8,5,35,43.3,70,3.4,43.1,55.7,7.1,1,,DoucEa00
56,Julio Jones,22,ATL,WR,13,13,95,54,959,17.8,8,36,43.2,80,4.2,73.8,56.8,10.1,1,,JoneJu02
57,Laurent Robinson,26,DAL,WR,14,4,80,54,858,15.9,11,36,58.8,74,3.9,61.3,67.5,10.7,0,,RobiLa01
58,Mike Tolbert,26,SDG,RB,15,1,79,54,433,8.0,2,23,46.8,27,3.6,28.9,68.4,5.5,2,,TolbMi00
59,Arian Foster,25,HOU,RB,13,13,72,53,617,11.6,2,19,43.1,78,4.1,47.5,73.6,8.6,5,PBAP-2,FostAr00
60,Jason Avant,28,PHI,WR,16,7,81,52,679,13.1,1,32,58.0,35,3.3,42.4,64.2,8.4,2,,AvanJa00
61,Matt Forte,26,CHI,RB,12,12,76,52,490,9.4,1,20,38.2,56,4.3,40.8,68.4,6.4,2,PB,FortMa00
62,Lance Moore,28,NOR,WR,14,7,73,52,627,12.1,8,35,64.4,47,3.7,44.8,71.2,8.6,0,,MoorLa00
63,Doug Baldwin,23,SEA,WR,16,1,85,51,788,15.5,4,40,49.4,55,3.2,49.3,60.0,9.3,0,,BaldDo00
64,Davone Bess,26,MIA,WR,16,4,86,51,537,10.5,3,25,38.4,41,3.2,33.6,59.3,6.2,5,,BessDa00
65,Deion Branch,32,NWE,WR,15,15,90,51,702,13.8,5,37,50.0,63,3.4,46.8,56.7,7.8,0,,BranDe00
66,Santonio Holmes,27,NYJ,WR,16,16,101,51,654,12.8,8,34,42.6,38,3.2,40.9,50.5,6.5,2,,HolmSa00
67,Heath Miller,29,PIT,TE,16,16,74,51,631,12.4,2,36,59.5,39,3.2,39.4,68.9,8.5,1,,MillHe00
68,Andre Roberts,23,ARI,WR,16,16,98,51,586,11.5,2,28,46.9,45,3.2,36.6,52.0,6.0,1,,RobeAn00
69,Ryan Mathews,24,SDG,RB,14,14,59,50,455,9.1,0,18,61.0,42,3.6,32.5,84.7,7.7,5,PB,MathRy00
70,Jerome Simpson,25,CIN,WR,16,14,105,50,725,14.5,4,33,41.9,84,3.1,45.3,47.6,6.9,0,,SimpJe00
71,Torrey Smith,22,BAL,WR,16,14,95,50,841,16.8,7,34,42.1,74,3.1,52.6,52.6,8.9,1,,SmitTo02
72,Pierre Thomas,27,NOR,RB,16,7,59,50,425,8.5,1,18,52.5,57,3.1,26.6,84.7,7.2,1,,ThomPi00
73,Jared Cook,24,TEN,TE,16,5,81,49,759,15.5,3,34,49.4,80,3.1,47.4,60.5,9.4,2,,CookJa02
74,Roy Helu,23,WAS,RB,15,5,59,49,379,7.7,1,13,42.4,47,3.3,25.3,83.1,6.4,2,,HeluRo00
75,LeSean McCoy,23,PHI,RB,15,15,69,48,315,6.6,3,18,44.9,26,3.2,21.0,69.6,4.6,1,PBAP-1,McCoLe01
76,Titus Young,22,DET,WR,16,9,86,48,607,12.6,6,33,47.7,57,3.0,37.9,55.8,7.1,1,,YounTi00
77,Lavelle Hawkins,25,TEN,WR,16,2,77,47,470,10.0,1,22,44.2,32,2.9,29.4,61.0,6.1,1,,HawkLa00
78,Jonathan Stewart,24,CAR,RB,16,3,61,47,413,8.8,1,18,45.9,26,2.9,25.8,77.0,6.8,1,,StewJo00
79,Dexter McCluster,22,KAN,WR,16,4,64,46,328,7.1,1,15,35.9,49,2.9,20.5,71.9,5.1,4,,McClDe00
80,Santana Moss,32,WAS,WR,12,12,95,46,584,12.7,4,36,41.1,49,3.8,48.7,48.4,6.1,0,,MossSa00
81,Hines Ward,35,PIT,WR,15,9,63,46,381,8.3,2,21,54.0,31,3.1,25.4,73.0,6.0,1,,WardHi00
82,Plaxico Burress,34,NYJ,WR,16,13,96,45,612,13.6,8,38,44.8,30,2.8,38.3,46.9,6.4,0,,BurrPl00
83,Greg Olsen,26,CAR,TE,16,13,89,45,540,12.0,5,27,41.6,44,2.8,33.8,50.6,6.1,1,,OlseGr00
84,Damian Williams,23,TEN,WR,15,13,94,45,592,13.2,5,27,40.4,54,3.0,39.5,47.9,6.3,0,,WillDa04
85,Eric Decker,24,DEN,WR,16,13,96,44,612,13.9,8,30,37.5,56,2.8,38.3,45.8,6.4,1,,DeckEr00
86,Legedu Naanee,28,CAR,WR,15,10,76,44,467,10.6,1,20,42.1,28,2.9,31.1,57.9,6.1,0,,NaanLe00
87,Mike Thomas,24,JAX,WR,15,13,91,44,415,9.4,1,20,34.1,47,2.9,27.7,48.4,4.6,1,,ThomMi01
88,Miles Austin,27,DAL,WR,10,10,73,43,579,13.5,7,31,54.8,53,4.3,57.9,58.9,7.9,1,,AustMi00
89,Reggie Bush,26,MIA,RB,15,15,52,43,296,6.9,1,12,38.5,34,2.9,19.7,82.7,5.7,4,,BushRe00
90,Malcom Floyd,30,SDG,WR,12,9,70,43,856,19.9,5,41,61.4,52,3.6,71.3,61.4,12.2,0,,FloyMa00
91,Maurice Jones-Drew,26,JAX,RB,16,16,64,43,374,8.7,3,18,43.8,48,2.7,23.4,67.2,5.8,6,PBAP-1,DrewMa00
92,Steven Jackson,28,STL,RB,15,15,58,42,333,7.9,1,17,48.3,50,2.8,22.2,72.4,5.7,2,,JackSt00
93,LaDainian Tomlinson,32,NYJ,RB,14,1,61,42,449,10.7,2,12,31.1,74,3.0,32.1,68.9,7.4,0,,TomlLa00
94,Josh Cribbs,28,CLE,WR,16,7,67,41,518,12.6,4,27,52.2,45,2.6,32.4,61.2,7.7,3,,CribJo01
95,Kregg Lumpkin,27,TAM,RB,16,0,53,41,291,7.1,0,13,41.5,16,2.6,18.2,77.4,5.5,0,,LumpKr00
96,Robert Meachem,27,NOR,WR,16,8,60,40,620,15.5,6,29,61.7,67,2.5,38.8,66.7,10.3,0,,MeacRo00
97,Preston Parker,24,TAM,WR,16,0,65,40,554,13.9,3,26,49.2,51,2.5,34.6,61.5,8.5,8,,ParkPr00
98,Dennis Pitta,26,BAL,TE,16,2,56,40,405,10.1,3,28,57.1,39,2.5,25.3,71.4,7.2,0,,PittDe00
99,Harry Douglas,27,ATL,WR,16,4,62,39,498,12.8,1,20,43.5,49,2.4,31.1,62.9,8.0,0,,DougHa00
100,Fred Jackson,30,BUF,RB,10,10,50,39,442,11.3,0,15,40.0,49,3.9,44.2,78.0,8.8,2,,JackFr02
101,Marcedes Lewis,27,JAX,TE,15,15,85,39,460,11.8,0,22,35.3,62,2.6,30.7,45.9,5.4,0,,LewiMa00
102,Mario Manningham,25,NYG,WR,12,10,77,39,523,13.4,4,25,44.2,47,3.3,43.6,50.6,6.8,0,,MannMa01
103,C.J. Spiller,24,BUF,RB,16,11,54,39,269,6.9,2,16,44.4,19,2.4,16.8,72.2,5.0,2,,SpilC.00
104,Kevin Walter,30,HOU,WR,15,14,59,39,474,12.2,3,26,57.6,41,2.6,31.6,66.1,8.0,0,,WaltKe00
105,Jake Ballard,24,NYG,TE,14,13,61,38,604,15.9,4,31,59.0,41,2.7,43.1,62.3,9.9,0,,BallJa21
106,Scott Chandler,26,BUF,TE,14,9,46,38,389,10.2,6,25,71.7,31,2.7,27.8,82.6,8.5,1,,ChanSc00
107,Michael Jenkins,29,MIN,WR,11,7,55,38,466,12.3,3,22,50.9,72,3.5,42.4,69.1,8.5,2,,JenkMi00
108,James Jones,27,GNB,WR,16,0,55,38,635,16.7,7,27,58.2,70,2.4,39.7,69.1,11.5,1,,JoneJa04
109,Michael Bush,27,OAK,RB,16,9,47,37,418,11.3,1,14,55.3,55,2.3,26.1,78.7,8.9,1,,BushMi00
110,Andre Caldwell,26,CIN,WR,13,2,68,37,317,8.6,3,16,38.2,49,2.8,24.4,54.4,4.7,0,,CaldAn00
111,Donald Driver,36,GNB,WR,16,15,56,37,445,12.0,6,20,55.4,35,2.3,27.8,66.1,7.9,0,,DrivDo00
112,Johnny Knox,25,CHI,WR,14,11,69,37,727,19.6,2,31,46.4,81,2.6,51.9,53.6,10.5,1,,KnoxJo00
113,Ben Obomanu,28,SEA,WR,16,7,61,37,436,11.8,2,16,45.9,55,2.3,27.3,60.7,7.1,0,,ObomBe00
114,Jeremy Shockey,31,CAR,TE,15,13,62,37,455,12.3,4,25,54.8,29,2.5,30.3,59.7,7.3,2,,ShocJe00
115,Ben Watson,31,CLE,TE,13,11,70,37,410,11.1,2,21,42.9,34,2.8,31.5,52.9,5.9,0,,WatsBe00
116,Roy Williams,30,CHI,WR,15,9,63,37,507,13.7,2,29,57.1,25,2.5,33.8,58.7,8.0,0,,WillRo04
117,Brandon Gibson,24,STL,WR,15,9,71,36,431,12.0,1,28,42.3,34,2.4,28.7,50.7,6.1,0,,GibsBr00
118,Brandon LaFell,25,CAR,WR,16,6,56,36,613,17.0,3,25,51.8,91,2.3,38.3,64.3,10.9,0,,LaFeBr00
119,Visanthe Shiancoe,31,MIN,TE,16,14,70,36,409,11.4,3,26,48.6,37,2.3,25.6,51.4,5.8,0,,ShiaVi00
120,Dezmon Briscoe,22,TAM,WR,16,2,51,35,387,11.1,6,20,64.7,46,2.2,24.2,68.6,7.6,0,,BrisDe00
121,Brian Hartline,25,MIA,WR,16,10,66,35,549,15.7,1,30,50.0,41,2.2,34.3,53.0,8.3,0,,HartBr00
122,Golden Tate,23,SEA,WR,16,5,58,35,382,10.9,3,17,43.1,33,2.2,23.9,60.3,6.6,1,,TateGo00
123,Ahmad Bradshaw,25,NYG,RB,12,9,44,34,267,7.9,2,12,43.2,26,2.8,22.3,77.3,6.1,1,,BradAh00
124,Dallas Clark,32,IND,TE,11,10,65,34,352,10.4,2,22,49.2,21,3.1,32.0,52.3,5.4,1,,ClarDa00
125,Evan Moore,26,CLE,TE,16,4,46,34,324,9.5,4,19,56.5,33,2.1,20.3,73.9,7.0,0,,MoorEv00
126,Andre Johnson,30,HOU,WR,7,7,51,33,492,14.9,2,23,58.8,50,4.7,70.3,64.7,9.6,0,,JohnAn02
127,Felix Jones,24,DAL,RB,12,8,45,33,221,6.7,0,13,51.1,27,2.8,18.4,73.3,4.9,5,,JoneFe00
128,Denarius Moore,23,OAK,WR,13,10,76,33,618,18.7,5,26,39.5,78,2.5,47.5,43.4,8.1,1,,MoorDe02
129,Anthony Fasano,27,MIA,TE,15,15,54,32,451,14.1,5,25,51.9,35,2.1,30.1,59.3,8.4,0,,FasaAn00
130,Devery Henderson,29,NOR,WR,16,13,50,32,503,15.7,2,22,62.0,79,2.0,31.4,64.0,10.1,1,,HendDe00
131,Sidney Rice,25,SEA,WR,9,9,57,32,484,15.1,2,19,47.4,52,3.6,53.8,56.1,8.5,1,,RiceSi01
132,Demaryius Thomas,24,DEN,WR,11,5,70,32,551,17.2,4,25,41.4,47,2.9,50.1,45.7,7.9,0,,ThomDe03
133,Jacoby Jones,27,HOU,WR,16,10,65,31,512,16.5,2,23,41.5,80,1.9,32.0,47.7,7.9,0,,JoneJa03
134,Mohamed Massaquoi,25,CLE,WR,14,13,74,31,384,12.4,2,18,39.2,56,2.2,27.4,41.9,5.2,0,,MassMo00
135,Arrelious Benn,23,TAM,WR,14,14,51,30,441,14.7,3,15,39.2,65,2.1,31.5,58.8,8.6,0,,BennAr00
136,Shonn Greene,26,NYJ,RB,16,15,41,30,211,7.0,0,7,53.7,36,1.9,13.2,73.2,5.1,1,,GreeSh00
137,Randy McMichael,32,SDG,TE,16,14,44,30,271,9.0,0,12,50.0,30,1.9,16.9,68.2,6.2,0,,McMiRa01
