Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Tony Gonzalez,28,KAN,TE,16,16,148,102,1258,12.3,7,70,60.8,32,6.4,78.6,68.9,8.5,0,PBAP-2,GonzTo00
2,Derrick Mason,30,TEN,WR,16,16,158,96,1168,12.2,7,67,55.1,37,6.0,73.0,60.8,7.4,2,,MasoDe00
3,Chad Johnson,26,CIN,WR,16,16,170,95,1274,13.4,9,63,50.0,53,5.9,79.6,55.9,7.5,1,PB,JohnCh01
4,Torry Holt,28,STL,WR,16,16,135,94,1372,14.6,10,59,57.0,75,5.9,85.8,69.6,10.2,3,PB,HoltTo00
5,Joe Horn,32,NOR,WR,16,16,153,94,1399,14.9,11,73,54.2,57,5.9,87.4,61.4,9.1,0,PB,HornJo00
6,Muhsin Muhammad,31,CAR,WR,16,16,160,93,1405,15.1,16,74,55.6,51,5.8,87.8,58.1,8.8,3,PBAP-1,MuhaMu00
7,Laveranues Coles,27,WAS,WR,16,16,168,90,950,10.6,1,52,43.5,45,5.6,59.4,53.6,5.7,1,,ColeLa00
8,Isaac Bruce,32,STL,WR,16,16,148,89,1292,14.5,6,64,54.1,56,5.6,80.8,60.1,8.7,5,,BrucIs00
9,Javon Walker,26,GNB,WR,16,12,144,89,1382,15.5,12,63,54.2,79,5.6,86.4,61.8,9.6,2,PB,WalkJa00
10,Eric Moulds,31,BUF,WR,16,16,152,88,1043,11.9,5,53,49.3,49,5.5,65.2,57.9,6.9,1,,MoulEr00
11,Darrell Jackson,26,SEA,WR,16,16,156,87,1199,13.8,7,59,51.3,56,5.4,74.9,55.8,7.7,2,,JackDa00
12,Jason Witten,22,DAL,TE,16,15,122,87,980,11.3,6,45,54.9,42,5.4,61.3,71.3,8.0,2,PB,WittJa00
13,Marvin Harrison,32,IND,WR,16,16,139,86,1113,12.9,15,63,54.7,59,5.4,69.6,61.9,8.0,1,PBAP-2,HarrMa00
14,Donald Driver,29,GNB,WR,16,11,137,84,1208,14.4,9,61,56.2,50,5.3,75.5,61.3,8.8,2,,DrivDo00
15,Eric Johnson,25,SFO,TE,16,14,117,82,825,10.1,2,46,59.0,25,5.1,51.6,70.1,7.1,1,,JohnEr00
16,Antonio Gates,24,SDG,TE,15,15,114,81,964,11.9,13,55,63.2,72,5.4,64.3,71.1,8.5,0,PBAP-1,GateAn00
17,Drew Bennett,26,TEN,WR,16,16,144,80,1247,15.6,11,62,51.4,48,5.0,77.9,55.6,8.7,3,,BennDr00
18,Michael Clayton,22,TAM,WR,16,13,122,80,1193,14.9,7,56,61.5,75,5.0,74.6,65.6,9.8,1,,ClayMi00
19,Hines Ward,28,PIT,WR,16,16,108,80,1004,12.6,4,52,64.8,58,5.0,62.8,74.1,9.3,1,PBAP-2,WardHi00
20,Andre Johnson,23,HOU,WR,16,16,138,79,1142,14.5,6,53,51.4,54,4.9,71.4,57.2,8.3,1,PB,JohnAn02
21,Rod Smith,34,DEN,WR,16,16,136,79,1144,14.5,7,52,53.7,85,4.9,71.5,58.1,8.4,4,,SmitRo01
22,Terrell Owens,31,PHI,WR,14,14,127,77,1200,15.6,14,51,55.1,59,5.5,85.7,60.6,9.4,2,PBAP-1AP OPoY-2,OwenTe00
23,Reggie Wayne,26,IND,WR,16,16,115,77,1210,15.7,12,59,62.6,71,4.8,75.6,67.0,10.5,0,,WaynRe00
24,Jimmy Smith,35,JAX,WR,16,16,137,74,1172,15.8,6,52,49.6,65,4.6,73.3,54.0,8.6,2,,SmitJi00
25,T.J. Houshmandzadeh,27,CIN,WR,16,13,108,73,978,13.4,4,48,58.3,62,4.6,61.1,67.6,9.1,0,AP CPoY-7,HousTJ00
26,Randy McMichael,25,MIA,TE,16,16,118,73,791,10.8,4,43,44.9,42,4.6,49.4,61.9,6.7,2,,McMiRa01
27,Brian Westbrook,25,PHI,RB,13,12,87,73,703,9.6,6,30,50.6,50,5.6,54.1,83.9,8.1,1,PB,WestBr00
28,Jermaine Wiggins,29,MIN,TE,14,13,92,71,705,9.9,4,33,62.0,39,5.1,50.4,77.2,7.7,1,,WiggJe00
29,Keyshawn Johnson,32,DAL,WR,16,16,124,70,981,14.0,6,53,54.0,39,4.4,61.3,56.5,7.9,1,,JohnKe00
