Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Arian Smith,WR,Georgia,College Stats,6-0,179,4.36,38.0,,127,6.82,4.19,,SmitAr01
Brashard Smith,RB,SMU,College Stats,5-10,194,4.39,32.5,,117,,,,SmitBr09
Jaylin Smith,CB,USC,College Stats,5-11,187,4.45,32.5,,122,,,,SmitJa11
Barryn Sorrell,EDGE,Texas,College Stats,6-3,256,4.68,34.0,28,121,7.06,4.36,,SorrBa00
Nazir Stackhouse,DT,Georgia,College Stats,6-4,327,5.15,27.5,,105,,,,StacNa00
Malaki Starks,SAF,Georgia,College Stats,6-1,197,4.50,33.0,,,7.26,4.45,,StarMa00
Josaiah Stewart,EDGE,Michigan,College Stats,6-1,249,,,,,,,,StewJo03
Shemar Stewart,EDGE,Texas A&M,College Stats,6-5,267,4.59,40.0,,131,,,,StewSh00
Upton Stout,CB,Western Kentucky,College Stats,5-9,181,4.44,37.5,21,128,,4.29,,StouUp00
Dorian Strong,CB,Virginia Tech,College Stats,6-1,185,4.50,36.0,15,116,,,,StroDo01
Danny Stutsman,LB,Oklahoma,College Stats,6-3,233,4.52,34.0,,,,,,StutDa00
Bradyn Swinson,EDGE,LSU,College Stats,6-4,255,,,,,7.13,4.33,,SwinBr01
Junior Tafuna,DT,Utah,College Stats,6-4,308,5.03,28.5,24,,,,,-9999
Marcus Tate,G,Clemson,College Stats,6-5,321,,,,,,,,TateMa00
Branson Taylor,OT,Pittsburgh,College Stats,6-6,321,,,,,,,,-9999
Mason Taylor,TE,LSU,College Stats,6-5,251,,,,,,,,TaylMa02
Roc Taylor,WR,Memphis,College Stats,6-2,213,4.49,30.5,,122,,,,TaylRo02
Isaac TeSlaa,WR,Arkansas,College Stats,6-4,214,4.43,39.5,17,129,6.85,4.05,,TeSlIs00
Azareye'h Thomas,CB,Florida St.,College Stats,6-2,197,,,,122,,,,ThomAz00
Jay Toia,DT,UCLA,College Stats,6-2,342,,,,,,,,ToiaJa00
Ozzy Trapilo,OT,Boston Col.,College Stats,6-8,316,5.21,,,106,7.71,4.70,,TrapOz00
Jalen Travis,OT,Iowa St.,College Stats,6-8,339,5.14,35.0,,112,,,,TravJa00
Xavier Truss,G,Georgia,College Stats,6-7,309,5.24,26.0,,103,,,,TrusXa00
JT Tuimoloau,EDGE,Ohio St.,College Stats,6-4,265,,,,,,,,TuimJT00
Shemar Turner,DT,Texas A&M,College Stats,6-3,290,,,,,,,,TurnSh00
Bhayshul Tuten,RB,Virginia Tech,College Stats,5-9,206,4.32,40.5,,130,,4.41,,TuteBh00
Princely Umanmielen,EDGE,Mississippi,College Stats,6-4,244,4.72,38.0,,126,7.33,4.46,,UmanPr00
Malik Verdon,SAF,Iowa St.,College Stats,6-4,218,,,,,7.06,4.34,,VerdMa00
Carson Vinson,OT,Alabama A&M,,6-7,314,5.12,28.5,,111,7.51,,,-9999
David Walker,EDGE,Central Arkansas,,6-1,263,4.69,35.0,26,118,7.15,4.39,,-9999
Deone Walker,DT,Kentucky,College Stats,6-7,331,,25.0,,104,,,,WalkDe04
Jalon Walker,LB,Georgia,College Stats,6-1,243,,,,,,,,WalkJa02
Justin Walley,CB,Minnesota,College Stats,5-10,190,4.40,,,,,,,WallJu00
Cam Ward,QB,Miami,College Stats,6-2,219,,,,,,,,WardCa00
Tyler Warren,TE,Penn St.,College Stats,6-6,256,,,,,,,,WarrTy00
Jordan Watkins,WR,Mississippi,College Stats,5-11,196,4.37,36.5,,119,,,,-9999
Xavier Watts,SAF,Notre Dame,College Stats,6-0,204,,,,,,,,WattXa00
Isas Waxter,CB,Villanova,,6-1,209,4.56,35.0,,124,,,,-9999
Theo Wease,WR,Missouri,College Stats,6-3,200,4.56,31.0,,117,,,,WeasTh00
Robert Webb,C,Jacksonville St.,College Stats,6-3,312,5.11,31.0,,107,,4.90,,WebbCl00
CJ West,DT,Indiana,College Stats,6-1,316,4.95,33.0,,,,,,WestCJ00
LaJohntay Wester,WR,Colorado,College Stats,5-10,163,4.46,32.0,,121,,,,WestLa01
John Williams,G,Cincinnati,College Stats,6-4,322,5.17,,,,7.93,4.72,,-9999
Cameron Williams,OT,Texas,College Stats,6-6,317,,,,,,,,WillCa04
Kyle Williams,WR,Washington St.,College Stats,5-11,190,4.40,36.5,,119,,,,WillKy03
Mykel Williams,EDGE,Georgia,College Stats,6-5,260,,,,,,,,WillMy00
Nohl Williams,CB,California,College Stats,6-0,199,4.50,33.5,19,120,,,,WillNo01
Savion Williams,WR,TCU,College Stats,6-4,222,4.48,,,,,,,WillSa01
Tyleik Williams,DT,Ohio St.,College Stats,6-3,334,,,,,,,,WillTy02
Jared Wilson,C,Georgia,College Stats,6-3,310,4.84,32.0,,112,,4.56,,WilsJa02
Hunter Wohler,SAF,Wisconsin,College Stats,6-2,213,4.57,37.0,,120,6.72,4.25,,WohlHu00
Ernest Woodard,LB,UNLV,College Stats,6-2,234,,,21,,,,,-9999
Craig Woodson,SAF,California,College Stats,6-0,200,4.45,36.0,13,127,,,,WoodCr00
Marcus Yarns,RB,Delaware,,5-11,193,4.45,37.5,,122,,,,-9999
Grey Zabel,OT,North Dakota St.,,6-6,312,,36.5,,111,,,,-9999
