Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Torry Holt,27,STL,WR,16,15,183,117,1696,14.5,12,84,59.6,48,7.3,106.0,63.9,9.3,1,PBAP-1AP OPoY-6,HoltTo00
2,Randy Moss,26,MIN,WR,16,16,172,111,1632,14.7,17,77,54.7,72,6.9,102.0,64.5,9.5,1,PBAP-1,MossRa00
3,Anquan Boldin,23,ARI,WR,16,16,165,101,1377,13.6,8,62,49.1,71,6.3,86.1,61.2,8.3,3,PBAP ORoY-1,BoldAn00
4,LaDainian Tomlinson,24,SDG,RB,16,16,137,100,725,7.3,4,26,32.1,73,6.3,45.3,73.0,5.3,2,AP-2AP OPoY-2,TomlLa00
5,Derrick Mason,29,TEN,WR,16,16,133,95,1303,13.7,8,69,59.4,50,5.9,81.4,71.4,9.8,0,PB,MasoDe00
6,Hines Ward,27,PIT,WR,16,16,156,95,1163,12.2,10,60,53.8,50,5.9,72.7,60.9,7.5,0,PBAP-2,WardHi00
7,Marvin Harrison,31,IND,WR,15,15,142,94,1272,13.5,10,60,54.9,79,6.3,84.8,66.2,9.0,2,PBAP-2,HarrMa00
8,Chad Johnson,25,CIN,WR,16,14,154,90,1355,15.1,10,67,55.8,82,5.6,84.7,58.4,8.8,0,PBAP-2,JohnCh01
9,Steve Smith Sr.,24,CAR,WR,16,11,142,88,1110,12.6,7,47,47.9,67,5.5,69.4,62.0,7.8,5,,SmitSt01
10,Keenan McCardell,33,TAM,WR,16,16,139,84,1174,14.0,8,53,53.2,76,5.3,73.4,60.4,8.4,1,PB,McCaKe00
11,Laveranues Coles,26,WAS,WR,16,16,159,82,1204,14.7,6,53,45.9,64,5.1,75.3,51.6,7.6,0,PB,ColeLa00
12,Terrell Owens,30,SFO,WR,15,15,146,80,1102,13.8,9,55,45.2,75,5.3,73.5,54.8,7.5,0,PB,OwenTe00
13,Peter Warrick,26,CIN,WR,15,14,122,79,819,10.4,7,49,51.6,77,5.3,54.6,64.8,6.7,2,,WarrPe00
14,Joe Horn,31,NOR,WR,15,14,130,78,973,12.5,10,52,52.3,50,5.2,64.9,60.0,7.5,2,,HornJo00
15,Michael Pittman,28,TAM,RB,16,13,121,75,597,8.0,2,23,36.4,68,4.7,37.3,62.0,4.9,4,,PittMi00
16,Priest Holmes,30,KAN,RB,16,16,90,74,690,9.3,0,35,56.7,36,4.6,43.1,82.2,7.7,1,PBAP-1AP MVP-5AP OPoY-4AP CPoY-11,HolmPr00
17,Santana Moss,24,NYJ,WR,16,12,117,74,1105,14.9,10,49,48.7,65,4.6,69.1,63.2,9.4,4,,MossSa00
18,Rod Smith,33,DEN,WR,15,15,114,74,845,11.4,3,48,51.8,38,4.9,56.3,64.9,7.4,0,,SmitRo01
19,Tony Gonzalez,27,KAN,TE,16,16,106,71,916,12.9,10,48,54.7,67,4.4,57.3,67.0,8.6,0,PBAP-1,GonzTo00
20,David Boston,25,SDG,WR,14,14,115,70,880,12.6,7,42,50.4,46,5.0,62.9,60.9,7.7,2,,BostDa00
21,Richie Anderson,32,DAL,FB,15,8,87,69,493,7.1,4,21,43.7,37,4.6,32.9,79.3,5.7,1,,AndeRi00
22,Tiki Barber,28,NYG,RB,16,16,98,69,461,6.7,1,26,43.9,36,4.3,28.8,70.4,4.7,9,,BarbTi00
