Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Roddy White,29,ATL,WR,16,16,179,115,1389,12.1,10,73,54.2,46,7.2,86.8,64.2,7.8,1,PBAP-1AP OPoY-5,WhitRo00
2,Reggie Wayne,32,IND,WR,16,16,175,111,1355,12.2,6,72,53.1,50,6.9,84.7,63.4,7.7,1,PBAP-1,WaynRe00
3,Jason Witten,28,DAL,TE,16,16,128,94,1002,10.7,9,42,53.9,33,5.9,62.6,73.4,7.8,1,PBAP-1,WittJa00
4,Santana Moss,31,WAS,WR,16,16,145,93,1115,12.0,6,61,53.8,56,5.8,69.7,64.1,7.7,3,,MossSa00
5,Larry Fitzgerald,27,ARI,WR,16,15,173,90,1137,12.6,6,58,44.5,41,5.6,71.1,52.0,6.6,0,PB,FitzLa00
6,Andre Johnson,29,HOU,WR,13,13,138,86,1216,14.1,8,59,54.3,60,6.6,93.5,62.3,8.8,1,PB,JohnAn02
7,Brandon Marshall,26,MIA,WR,14,14,146,86,1014,11.8,3,56,51.4,46,6.1,72.4,58.9,6.9,2,,MarsBr00
8,Wes Welker,29,NWE,WR,15,11,123,86,848,9.9,7,47,57.7,35,5.7,56.5,69.9,6.9,1,PBAP CPoY-4,WelkWe00
9,Danny Amendola,25,STL,WR,16,6,123,85,689,8.1,3,35,50.4,36,5.3,43.1,69.1,5.6,2,,AmenDa00
10,Marques Colston,27,NOR,WR,15,11,131,84,1023,12.2,7,57,58.8,43,5.6,68.2,64.1,7.8,0,,ColsMa00
11,Stevie Johnson,24,BUF,WR,16,13,141,82,1073,13.1,10,61,50.4,45,5.1,67.1,58.2,7.6,1,,JohnSt00
12,Davone Bess,25,MIA,WR,16,8,125,79,820,10.4,5,42,48.8,29,4.9,51.3,63.2,6.6,3,,BessDa00
13,Hakeem Nicks,22,NYG,WR,13,12,128,79,1052,13.3,11,45,53.9,46,6.1,80.9,61.7,8.2,1,,NickHa01
14,LeSean McCoy,22,PHI,RB,15,13,91,78,592,7.6,2,29,59.3,40,5.2,39.5,85.7,6.5,2,,McCoLe01
15,Chris Cooley,28,WAS,TE,16,16,126,77,849,11.0,3,40,49.2,35,4.8,53.1,61.1,6.7,3,,CoolCh00
16,Calvin Johnson,25,DET,WR,15,15,137,77,1120,14.5,12,54,49.6,87,5.1,74.7,56.2,8.2,1,PBAP-2,JohnCa00
17,Brandon Lloyd,29,DEN,WR,16,11,153,77,1448,18.8,11,72,49.7,71,4.8,90.5,50.3,9.5,0,PBAP-2,LloyBr00
18,Greg Jennings,27,GNB,WR,16,16,125,76,1265,16.6,12,51,54.4,86,4.8,79.1,60.8,10.1,2,PB,JennGr00
19,Dwayne Bowe,26,KAN,WR,16,16,133,72,1162,16.1,15,55,50.4,75,4.5,72.6,54.1,8.7,1,PBAP-2,BoweDw00
20,Terrell Owens,37,CIN,WR,14,11,139,72,983,13.7,9,47,44.6,78,5.1,70.2,51.8,7.1,0,,OwenTe00
21,Percy Harvin,22,MIN,WR,14,13,109,71,868,12.2,5,40,49.5,53,5.1,62.0,65.1,8.0,1,,HarvPe00
22,Brandon Pettigrew,25,DET,TE,16,16,111,71,722,10.2,4,33,49.5,35,4.4,45.1,64.0,6.5,0,,PettBr00
23,Tony Gonzalez,34,ATL,TE,16,16,108,70,656,9.4,6,40,52.8,34,4.4,41.0,64.8,6.1,0,PB,GonzTo00
24,Jeremy Maclin,22,PHI,WR,16,16,115,70,964,13.8,10,40,48.7,83,4.4,60.3,60.9,8.4,1,,MaclJe00
25,Miles Austin,26,DAL,WR,16,16,119,69,1041,15.1,7,46,52.9,69,4.3,65.1,58.0,8.7,1,PB,AustMi00
26,Ben Watson,30,CLE,TE,16,16,102,68,763,11.2,3,39,53.9,44,4.3,47.7,66.7,7.5,0,,WatsBe00
