Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Andre Johnson,27,HOU,WR,16,16,171,115,1575,13.7,8,79,62.6,65,7.2,98.4,67.3,9.2,1,PBAP-1,JohnAn02
2,Wes Welker,27,NWE,WR,16,14,149,111,1165,10.5,3,57,58.4,64,6.9,72.8,74.5,7.8,1,PBAP-2,WelkWe00
3,Brandon Marshall,24,DEN,WR,15,15,181,104,1265,12.2,6,67,50.8,47,6.9,84.3,57.5,7.0,4,PB,MarsBr00
4,Larry Fitzgerald,25,ARI,WR,16,16,154,96,1431,14.9,12,66,58.4,78,6.0,89.4,62.3,9.3,1,PBAP-1,FitzLa00
5,Tony Gonzalez,32,KAN,TE,16,16,155,96,1058,11.0,10,66,55.5,35,6.0,66.1,61.9,6.8,0,PBAP-1,GonzTo00
6,T.J. Houshmandzadeh,31,CIN,WR,15,15,137,92,904,9.8,4,51,54.7,46,6.1,60.3,67.2,6.6,0,,HousTJ00
7,Eddie Royal,22,DEN,WR,15,15,129,91,980,10.8,5,43,60.5,93,6.1,65.3,70.5,7.6,2,,RoyaEd00
8,Anquan Boldin,28,ARI,WR,12,11,127,89,1038,11.7,11,56,56.7,79,7.4,86.5,70.1,8.2,4,PBAP CPoY-4,BoldAn00
9,Roddy White,27,ATL,WR,16,15,148,88,1382,15.7,7,60,55.4,70,5.5,86.4,59.5,9.3,1,PB,WhitRo00
10,Dwayne Bowe,24,KAN,WR,16,16,157,86,1022,11.9,7,49,47.1,36,5.4,63.9,54.8,6.5,0,,BoweDw00
11,Antonio Bryant,27,TAM,WR,16,15,138,83,1248,15.0,7,58,54.3,71,5.2,78.0,60.1,9.0,1,AP CPoY-4,BryaAn00
12,Chris Cooley,26,WAS,TE,16,16,111,83,849,10.2,1,43,62.2,28,5.2,53.1,74.8,7.6,3,PB,CoolCh00
13,Reggie Wayne,30,IND,WR,16,16,131,82,1145,14.0,6,65,58.0,65,5.1,71.6,62.6,8.7,0,PB,WaynRe00
14,Hines Ward,32,PIT,WR,16,15,124,81,1043,12.9,7,55,57.3,49,5.1,65.2,65.3,8.4,1,,WardHi00
15,Jason Witten,26,DAL,TE,16,16,121,81,952,11.8,4,49,54.5,42,5.1,59.5,66.9,7.9,0,PBAP-2,WittJa00
16,Greg Jennings,25,GNB,WR,16,15,140,80,1292,16.2,9,55,50.7,63,5.0,80.8,57.1,9.2,1,,JennGr00
17,Derrick Mason,34,BAL,WR,16,16,121,80,1037,13.0,5,60,57.0,54,5.0,64.8,66.1,8.6,2,,MasoDe00
18,Lance Moore,25,NOR,WR,16,6,121,79,928,11.7,10,40,52.1,70,4.9,58.0,65.3,7.7,1,,MoorLa00
19,Santana Moss,29,WAS,WR,16,16,138,79,1044,13.2,6,50,47.8,67,4.9,65.3,57.2,7.6,1,,MossSa00
20,Calvin Johnson,23,DET,WR,16,16,150,78,1331,17.1,12,52,47.3,96,4.9,83.2,52.0,8.9,3,,JohnCa00
21,Steve Smith Sr.,29,CAR,WR,14,14,129,78,1421,18.2,6,59,56.6,65,5.6,101.5,60.5,11.0,1,PBAP-2AP OPoY-6,SmitSt01
22,Steve Breaston,25,ARI,WR,16,9,113,77,1006,13.1,3,44,56.6,58,4.8,62.9,68.1,8.9,1,,BreaSt00
23,Dallas Clark,29,IND,TE,15,15,107,77,848,11.0,6,41,61.7,33,5.1,56.5,72.0,7.9,2,,ClarDa00
24,Donald Driver,33,GNB,WR,16,16,116,74,1012,13.7,5,45,50.9,71,4.6,63.3,63.8,8.7,0,,DrivDo00
25,Jerricho Cotchery,26,NYJ,WR,16,16,112,71,858,12.1,5,43,53.6,56,4.4,53.6,63.4,7.7,2,,CotcJe00
26,Laveranues Coles,31,NYJ,WR,16,16,116,70,850,12.1,7,45,54.3,54,4.4,53.1,60.3,7.3,1,,ColeLa00
27,Owen Daniels,26,HOU,TE,16,16,101,70,862,12.3,2,46,60.4,35,4.4,53.9,69.3,8.5,2,PB,DaniOw00
28,Randy Moss,31,NWE,WR,16,16,125,69,1008,14.6,11,46,48.0,76,4.3,63.0,55.2,8.1,3,,MossRa00
29,Terrell Owens,35,DAL,WR,16,16,140,69,1052,15.2,10,38,42.1,75,4.3,65.8,49.3,7.5,1,,OwenTe00
30,Matt Jones,25,JAX,WR,12,10,107,65,761,11.7,2,46,57.0,35,5.4,63.4,60.7,7.1,1,,JoneMa00
31,Muhsin Muhammad,35,CAR,WR,16,15,107,65,923,14.2,5,46,54.2,60,4.1,57.7,60.7,8.6,2,,MuhaMu00
32,Torry Holt,32,STL,WR,16,14,119,64,796,12.4,3,40,43.7,45,4.0,49.8,53.8,6.7,0,,HoltTo00
33,Lee Evans,27,BUF,WR,16,16,102,63,1017,16.1,3,46,53.9,87,3.9,63.6,61.8,10.0,2,,EvanLe00
