Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Marvin Harrison,28,IND,WR,16,16,169,102,1413,13.9,14,70,52.7,78,6.4,88.3,60.4,8.4,2,PBAP-2,HarrMa00
2,Muhsin Muhammad,27,CAR,WR,16,16,156,102,1183,11.6,6,62,56.4,36,6.4,73.9,65.4,7.6,1,,MuhaMu00
3,Ed McCaffrey,32,DEN,WR,16,16,149,101,1317,13.0,9,69,59.1,61,6.3,82.3,67.8,8.8,0,,McCaEd00
4,Rod Smith,30,DEN,WR,16,16,173,100,1602,16.0,8,77,53.8,49,6.3,100.1,57.8,9.3,1,PBAP-2,SmitRo01
5,Terrell Owens,27,SFO,WR,14,13,146,97,1451,15.0,13,65,60.3,69,6.9,103.6,66.4,9.9,3,PBAP-1,OwenTe00
6,Cris Carter,35,MIN,WR,16,16,161,96,1274,13.3,9,72,54.0,53,6.0,79.6,59.6,7.9,3,PB,CartCr00
7,Joe Horn,28,NOR,WR,16,16,151,94,1340,14.3,8,62,51.7,52,5.9,83.8,62.3,8.9,1,PB,HornJo00
8,Keenan McCardell,30,JAX,WR,16,16,140,94,1207,12.8,5,58,60.7,67,5.9,75.4,67.1,8.6,3,,McCaKe00
9,Eric Moulds,27,BUF,WR,16,16,164,94,1326,14.1,5,62,51.2,52,5.9,82.9,57.3,8.1,1,PB,MoulEr00
10,Tony Gonzalez,24,KAN,TE,16,16,150,93,1203,12.9,9,66,52.0,39,5.8,75.2,62.0,8.0,0,PBAP-1,GonzTo00
11,Jimmy Smith,31,JAX,WR,15,14,145,91,1213,13.3,8,46,53.8,65,6.1,80.9,62.8,8.4,1,PB,SmitJi00
12,Richie Anderson,29,NYJ,FB,16,10,125,88,853,9.7,2,35,51.2,41,5.5,53.3,70.4,6.8,2,PB,AndeRi00
13,Isaac Bruce,28,STL,WR,16,16,135,87,1471,16.9,9,65,60.0,78,5.4,91.9,64.4,10.9,1,PB,BrucIs00
14,Troy Brown,29,NWE,WR,16,15,119,83,944,11.4,4,46,62.2,44,5.2,59.0,69.7,7.9,2,,BrowTr00
15,Torry Holt,24,STL,WR,16,15,139,82,1635,19.9,6,60,54.7,85,5.1,102.2,59.0,11.8,2,PB,HoltTo00
16,Larry Centers,32,WAS,FB,15,6,93,81,600,7.4,3,27,43.0,26,5.4,40.0,87.1,6.5,1,,CentLa00
17,Marshall Faulk,27,STL,RB,14,14,113,81,830,10.2,8,42,54.0,72,5.8,59.3,71.7,7.3,0,PBAP-1AP MVP-1AP OPoY-1,FaulMa00
18,Terry Glenn,26,NWE,WR,16,16,163,79,963,12.2,6,56,42.3,39,4.9,60.2,48.5,5.9,0,,GlenTe00
19,Derrick Alexander,29,KAN,WR,16,16,144,78,1391,17.8,10,55,50.0,81,4.9,86.9,54.2,9.7,0,,AlexDe00
20,Amani Toomer,26,NYG,WR,16,14,124,78,1094,14.0,7,60,57.3,54,4.9,68.4,62.9,8.8,1,,ToomAm00
21,Randy Moss,23,MIN,WR,16,16,129,77,1437,18.7,15,57,57.4,78,4.8,89.8,59.7,11.1,2,PBAP-1AP OPoY-5,MossRa00
22,Tim Brown,34,OAK,WR,16,16,133,76,1128,14.8,11,59,51.9,45,4.8,70.5,57.1,8.5,0,,BrowTi00
23,Jerry Rice,38,SFO,WR,16,16,122,75,805,10.7,7,49,51.6,68,4.7,50.3,61.5,6.6,3,,RiceJe00
24,Ahman Green,23,GNB,RB,16,11,99,73,559,7.7,3,28,45.5,31,4.6,34.9,73.7,5.6,6,AP CPoY-12,GreeAh00
25,Michael Pittman,25,ARI,RB,16,12,91,73,579,7.9,2,18,45.1,36,4.6,36.2,80.2,6.4,5,,PittMi00
26,David Boston,22,ARI,WR,16,16,133,71,1156,16.3,7,48,48.1,70,4.4,72.3,53.4,8.7,2,,BostDa00
27,Keyshawn Johnson,28,TAM,WR,16,16,122,71,874,12.3,8,49,52.5,38,4.4,54.6,58.2,7.2,2,,JohnKe00
28,Freddie Jones,26,SDG,TE,16,16,126,71,766,10.8,5,38,45.2,44,4.4,47.9,56.3,6.1,3,,JoneFr00
29,Tiki Barber,25,NYG,RB,16,12,95,70,719,10.3,1,29,48.4,36,4.4,44.9,73.7,7.6,9,,BarbTi00
30,Curtis Martin,27,NYJ,RB,16,16,96,70,508,7.3,2,25,50.0,31,4.4,31.8,72.9,5.3,2,,MartCu00
31,Frank Wycheck,29,TEN,TE,16,16,109,70,636,9.1,4,37,47.7,26,4.4,39.8,64.2,5.8,2,PBAP-2,WychFr00
32,Wayne Chrebet,27,NYJ,WR,16,16,143,69,937,13.6,8,49,43.4,50,4.3,58.6,48.3,6.6,0,,ChreWa00
33,Chad Lewis,29,PHI,TE,16,16,110,69,735,10.7,3,35,54.5,52,4.3,45.9,62.7,6.7,0,PBAP-2,LewiCh00
34,Charlie Garner,28,SFO,RB,16,15,94,68,647,9.5,3,28,52.1,62,4.3,40.4,72.3,6.9,4,PB,GarnCh00
35,Shannon Sharpe,32,BAL,TE,16,15,105,67,810,12.1,5,36,54.3,59,4.2,50.6,63.8,7.7,0,,SharSh00
36,Donald Hayes,25,CAR,WR,15,15,112,66,926,14.0,3,47,53.6,43,4.4,61.7,58.9,8.3,1,,HayeDo00
37,Bill Schroeder,29,GNB,WR,16,16,119,65,999,15.4,4,51,51.3,55,4.1,62.4,54.6,8.4,1,,SchrBi00
38,Kyle Brady,28,JAX,TE,16,15,94,64,729,11.4,3,39,61.7,36,4.0,45.6,68.1,7.8,0,,BradKy00
39,Sean Dawkins,29,SEA,WR,16,16,102,63,731,11.6,5,42,56.9,40,3.9,45.7,61.8,7.2,0,,DawkSe00
40,Edgerrin James,22,IND,RB,16,16,87,63,594,9.4,5,24,52.9,60,3.9,37.1,72.4,6.8,5,PBAP-2AP OPoY-2,JameEd00
41,Derrick Mason,26,TEN,WR,16,10,89,63,895,14.2,5,45,57.3,34,3.9,55.9,70.8,10.1,1,PBAP-1,MasoDe00
42,Ricky Watters,31,SEA,RB,16,16,92,63,613,9.7,2,28,42.4,59,3.9,38.3,68.5,6.7,5,AP CPoY-12,WattRi00
43,Antonio Freeman,28,GNB,WR,15,15,120,62,912,14.7,9,47,45.8,67,4.1,60.8,51.7,7.6,1,,FreeAn00
44,Johnnie Morton,29,DET,WR,16,16,116,61,788,12.9,3,40,44.0,42,3.8,49.3,52.6,6.8,1,,MortJo00
45,Shawn Jefferson,31,ATL,WR,16,14,104,60,822,13.7,2,40,49.0,49,3.8,51.4,57.7,7.9,1,,JeffSh00
46,Tony Richardson,29,KAN,FB,16,16,75,58,468,8.1,3,19,44.0,24,3.6,29.3,77.3,6.2,3,,RichTo00
47,Kevin Johnson,24,CLE,WR,16,16,98,57,669,11.7,0,26,37.8,79,3.6,41.8,58.2,6.8,0,,JohnKe01
48,Terance Mathis,33,ATL,WR,16,16,124,57,679,11.9,5,42,40.3,44,3.6,42.4,46.0,5.5,1,,MathTe00
49,Oronde Gadsden,29,MIA,WR,16,16,93,56,786,14.0,6,35,53.8,61,3.5,49.1,60.2,8.5,0,,GadsOr00
50,Charles Johnson,28,PHI,WR,16,16,100,56,642,11.5,7,33,43.0,59,3.5,40.1,56.0,6.4,0,,JohnCh00
51,Jeff Graham,31,SDG,WR,14,13,112,55,907,16.5,4,38,43.8,83,3.9,64.8,49.1,8.1,1,,GrahJe00
52,Ike Hilliard,24,NYG,WR,14,14,105,55,787,14.3,8,44,45.7,59,3.9,56.2,52.4,7.5,0,,HillIk00
53,Eddie Kennison,27,CHI,WR,16,10,95,55,549,10.0,2,29,42.1,26,3.4,34.3,57.9,5.8,1,,KennEd00
54,Marcus Robinson,25,CHI,WR,11,11,102,55,738,13.4,5,27,39.2,68,5.0,67.1,53.9,7.2,1,,RobiMa00
55,Frank Sanders,27,ARI,WR,16,16,116,54,749,13.9,6,37,41.4,53,3.4,46.8,46.6,6.5,0,,SandFr00
56,Dedric Ward,26,NYJ,WR,16,16,119,54,801,14.8,3,39,42.9,61,3.4,50.1,45.4,6.7,1,,WardDe00
57,Curtis Conway,29,SDG,WR,14,14,99,53,712,13.4,5,30,39.4,68,3.8,50.9,53.5,7.2,0,,ConwCu00
58,Az-Zahir Hakim,23,STL,WR,16,4,81,53,734,13.8,4,32,55.6,80,3.3,45.9,65.4,9.1,7,,HakiAz00
59,Darrell Jackson,22,SEA,WR,16,9,93,53,713,13.5,6,31,48.4,71,3.3,44.6,57.0,7.7,2,,JackDa00
60,James McKnight,28,DAL,WR,16,15,106,52,926,17.8,2,38,46.2,48,3.3,57.9,49.1,8.7,1,,McKnJa00
61,Peerless Price,24,BUF,WR,16,16,106,52,762,14.7,3,34,42.5,42,3.3,47.6,49.1,7.2,4,,PricPe00
62,Kevin Faulk,24,NWE,RB,16,9,68,51,465,9.1,1,18,50.0,52,3.2,29.1,75.0,6.8,6,,FaulKe00
63,Jacquez Green,24,TAM,WR,16,16,103,51,773,15.2,1,34,42.7,75,3.2,48.3,49.5,7.5,0,,GreeJa00
64,Peter Warrick,23,CIN,WR,16,16,126,51,592,11.6,4,34,34.9,46,3.2,37.0,40.5,4.7,2,,WarrPe00
65,Eddie George,27,TEN,RB,16,16,65,50,453,9.1,2,23,55.4,24,3.1,28.3,76.9,7.0,5,PBAP-1AP MVP-3AP OPoY-2,GeorEd00
66,Jerome Pathon,25,IND,WR,16,10,89,50,646,12.9,3,33,51.7,38,3.1,40.4,56.2,7.3,0,,PathJe00
67,James Thrash,25,WAS,WR,16,9,74,50,653,13.1,2,29,54.1,50,3.1,40.8,67.6,8.8,1,,ThraJa00
68,Dwayne Carswell,28,DEN,TE,16,16,64,49,495,10.1,3,27,57.8,43,3.1,30.9,76.6,7.7,0,,CarsDw00
69,Qadry Ismail,30,BAL,WR,15,13,95,49,655,13.4,5,37,47.4,53,3.3,43.7,51.6,6.9,0,,IsmaQa00
70,Terrell Fletcher,27,SDG,RB,16,6,71,48,355,7.4,1,17,39.4,26,3.0,22.2,67.6,5.0,2,,FletTe00
71,Sylvester Morris,23,KAN,WR,15,14,105,48,678,14.1,3,32,39.0,47,3.2,45.2,45.7,6.5,3,,MorrSy00
72,Hines Ward,24,PIT,WR,16,15,83,48,672,14.0,4,31,49.4,77,3.0,42.0,57.8,8.1,2,,WardHi00
73,Stephen Alexander,25,WAS,TE,16,16,72,47,510,10.9,2,33,58.3,30,2.9,31.9,65.3,7.1,2,PB,AlexSt00
74,Marty Booker,24,CHI,WR,15,7,74,47,490,10.4,2,28,48.6,41,3.1,32.7,63.5,6.6,2,,BookMa00
75,Ken Dilger,29,IND,TE,16,16,72,47,538,11.4,3,27,52.8,32,2.9,33.6,65.3,7.5,1,,DilgKe00
76,Bob Christian,32,ATL,FB,16,14,63,44,315,7.2,0,12,38.1,19,2.8,19.7,69.8,5.0,0,,ChriBo00
77,Warrick Dunn,25,TAM,RB,16,14,69,44,422,9.6,1,21,39.1,45,2.8,26.4,63.8,6.1,1,PB,DunnWa00
78,Ricky Williams,23,NOR,RB,10,10,55,44,409,9.3,1,19,60.0,24,4.4,40.9,80.0,7.4,6,,WillRi00
79,Jeremy McDaniel,24,BUF,WR,16,6,69,43,697,16.2,2,31,55.1,74,2.7,43.6,62.3,10.1,0,,McDaJe00
80,Terrence Wilkins,25,IND,WR,14,7,67,43,569,13.2,3,28,55.2,43,3.1,40.6,64.2,8.5,4,,WilkTe00
81,Jamal Anderson,28,ATL,RB,16,16,58,42,382,9.1,0,15,46.6,55,2.6,23.9,72.4,6.6,6,AP CPoY-12,AndeJa00
82,Irving Fryar,38,WAS,WR,14,6,76,41,548,13.4,5,29,46.1,34,2.9,39.1,53.9,7.2,0,,FryaIr00
83,Andre Rison,33,OAK,WR,16,0,70,41,606,14.8,6,29,55.7,49,2.6,37.9,58.6,8.7,0,AP CPoY-7,RisoAn00
84,Herman Moore,31,DET,WR,15,11,80,40,434,10.9,3,25,43.8,30,2.7,28.9,50.0,5.4,0,,MoorHe00
85,Bobby Shaw,25,PIT,WR,16,0,69,40,672,16.8,4,31,53.6,45,2.5,42.0,58.0,9.7,2,,ShawBo00
86,Torrance Small,30,PHI,WR,14,14,94,40,569,14.2,3,27,37.2,70,2.9,40.6,42.6,6.1,0,,SmalTo00
87,James Allen,25,CHI,RB,16,15,60,39,291,7.5,1,17,41.7,26,2.4,18.2,65.0,4.9,5,,AlleJa00
88,Albert Connell,26,WAS,WR,16,12,102,39,762,19.5,3,29,33.3,77,2.4,47.6,38.2,7.5,0,,ConnAl00
89,Jackie Harris,32,DAL,TE,16,7,56,39,306,7.8,5,18,42.9,21,2.4,19.1,69.6,5.5,0,,HarrJa00
90,Dennis Northcutt,23,CLE,WR,15,8,82,39,422,10.8,0,24,36.6,37,2.6,28.1,47.6,5.1,1,,NortDe00
91,Greg Clark,28,SFO,TE,15,15,51,38,342,9.0,2,18,56.9,34,2.5,22.8,74.5,6.7,1,,ClarGr00
92,David Patten,26,CLE,WR,14,11,72,38,546,14.4,1,20,43.1,65,2.7,39.0,52.8,7.6,2,,PattDa00
93,Willie Jackson,29,NOR,WR,15,7,80,37,523,14.1,6,28,41.3,53,2.5,34.9,46.3,6.5,2,,JackWi00
94,Sammy Morris,23,BUF,RB,12,8,48,37,268,7.2,1,7,43.8,24,3.1,22.3,77.1,5.6,2,,MorrSa00
95,Travis Prentice,24,CLE,RB,16,11,43,37,191,5.2,1,7,39.5,13,2.3,11.9,86.0,4.4,2,,PrenTr00
96,Greg Comella,25,NYG,FB,16,12,50,36,274,7.6,0,13,42.0,25,2.3,17.1,72.0,5.5,2,,ComeGr00
97,Robert Smith,28,MIN,RB,16,16,44,36,348,9.7,3,15,52.3,53,2.3,21.8,81.8,7.9,4,PBAP-2AP OPoY-5,SmitRo00
98,Fred Taylor,24,JAX,RB,13,13,53,36,240,6.7,2,11,39.6,19,2.8,18.5,67.9,4.5,4,,TaylFr00
99,William Henderson,29,GNB,FB,16,6,45,35,234,6.7,1,10,60.0,25,2.2,14.6,77.8,5.2,1,,HendWi00
